
                  X                 v106      

                4.71008E+03        0.         
                4.71008E+03      -39.7601E-09 
                4.71001E+03     -574.284E-09  
                4.7098E+03        -2.04258E-06
                4.7091E+03        -7.06564E-06
                4.70676E+03      -23.8795E-06 
                4.6991E+03       -78.8544E-06 
                4.67476E+03     -253.246E-06  
                4.61356E+03     -691.132E-06  
                4.51363E+03       -1.40133E-03
                4.51139E+03       -1.41744E-03
                4.49711E+03     -492.177E-06  
                4.48595E+03     -450.464E-06  
                4.46735E+03     -458.315E-06  
                4.44992E+03     -463.703E-06  
                4.42258E+03     -474.392E-06  
                4.37887E+03     -495.388E-06  
                4.3074E+03      -537.344E-06  
                4.18755E+03     -622.891E-06  
                3.9824E+03      -801.338E-06  
                3.92478E+03     -857.416E-06  
                3.86562E+03     -917.243E-06  
                3.80506E+03     -980.791E-06  
                3.71193E+03       -1.08265E-03
                3.61648E+03       -1.1917E-03 
                3.51925E+03       -1.30707E-03
                3.47013E+03       -1.31689E-03
                3.42077E+03       -1.26618E-03
                3.37123E+03       -1.25705E-03
                3.32159E+03       -1.26719E-03
                3.29676E+03       -1.27267E-03
                3.25019E+03       -1.27889E-03
                3.22228E+03       -1.28265E-03
                3.1944E+03        -1.28694E-03
                3.16657E+03       -1.29153E-03
                3.13879E+03       -1.29623E-03
                3.11109E+03       -1.30103E-03
                3.08346E+03       -1.30598E-03
                3.05593E+03       -1.31111E-03
                3.02851E+03       -1.31644E-03
                3.00121E+03       -1.32196E-03
                2.97404E+03       -1.32764E-03
                2.94701E+03       -1.33346E-03
                2.92014E+03       -1.33937E-03
                2.89343E+03       -1.34535E-03
                2.8669E+03        -1.35137E-03
                2.84056E+03       -1.35742E-03
                2.81442E+03       -1.36349E-03
                2.7885E+03        -1.36957E-03
                2.76279E+03       -1.37565E-03
                2.73732E+03       -1.38173E-03
                2.7121E+03        -1.38781E-03
                2.68713E+03       -1.3939E-03 
                2.66243E+03       -1.39997E-03
                2.638E+03         -1.40604E-03
                2.61386E+03       -1.4121E-03 
                2.59002E+03       -1.41814E-03
                2.56648E+03       -1.42415E-03
                2.54325E+03       -1.43015E-03
                2.52035E+03       -1.4361E-03 
                2.49778E+03       -1.44202E-03
                2.47556E+03       -1.44791E-03
                2.45368E+03       -1.45375E-03
                2.43216E+03       -1.45953E-03
                2.41101E+03       -1.46525E-03
                2.40057E+03       -1.468E-03  
                2.37489E+03       -1.47512E-03
                2.35977E+03       -1.47928E-03
                2.34488E+03       -1.4834E-03 
                2.31575E+03       -1.49152E-03
                2.30153E+03       -1.49551E-03
                2.28754E+03       -1.49946E-03
                2.26026E+03       -1.50721E-03
                2.24697E+03       -1.51101E-03
                2.23393E+03       -1.51475E-03
                2.22112E+03       -1.51844E-03
                2.20237E+03       -1.52381E-03
                2.18641E+03       -1.52852E-03
                2.17638E+03       -1.5315E-03 
                2.15986E+03       -1.53624E-03
                2.1468E+03        -1.54013E-03
                2.13365E+03       -1.54404E-03
                2.11933E+03       -1.54828E-03
                2.10674E+03       -1.55201E-03
                2.09394E+03       -1.55587E-03
                2.0821E+03        -1.55942E-03
                2.06929E+03       -1.56329E-03
                2.05766E+03       -1.56681E-03
                2.04756E+03       -1.56988E-03
                2.03689E+03       -1.57314E-03
                2.02586E+03       -1.57653E-03
                2.01649E+03       -1.57939E-03
                2.00701E+03       -1.58236E-03
                1.99802E+03       -1.58506E-03
                1.98987E+03       -1.58761E-03
                1.98133E+03       -1.59027E-03
                1.97253E+03       -1.59301E-03
                1.9659E+03        -1.59506E-03
                1.95904E+03       -1.59724E-03
                1.95254E+03       -1.59924E-03
                1.94596E+03       -1.60133E-03
                1.93969E+03       -1.60325E-03
                1.93429E+03       -1.60499E-03
                1.92935E+03       -1.60654E-03
                1.92444E+03       -1.6081E-03 
                1.91967E+03       -1.60961E-03
                1.9156E+03        -1.6109E-03 
                1.91167E+03       -1.61215E-03
                1.90804E+03       -1.61331E-03
                1.90494E+03       -1.61431E-03
                1.90186E+03       -1.61529E-03
                1.89914E+03       -1.61616E-03
                1.89679E+03       -1.61692E-03
                1.89465E+03       -1.6176E-03 
                1.89271E+03       -1.61822E-03
                1.89097E+03       -1.6188E-03 
                1.88961E+03       -1.61924E-03
                1.88835E+03       -1.61965E-03
                1.88731E+03       -1.62E-03   
                1.88641E+03       -1.6203E-03 
                1.88574E+03       -1.62053E-03
                1.88518E+03       -1.62072E-03
                1.88476E+03       -1.62087E-03
                1.88445E+03       -1.62098E-03
                1.88425E+03       -1.62107E-03
                1.88413E+03       -1.62112E-03
                1.88407E+03       -1.62116E-03
                1.88404E+03       -1.62119E-03
                1.88404E+03       -1.62121E-03




