Test ,2folds_sample2_20220701_1753,2folds_sample2_20220701_1747,2folds_sample2_20220701_1743,2folds_sample1_20220701_1737,2folds_sample1_20220701_1723,2folds_sample0_20220701_1719,2folds_sample0_20220701_1713
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.29,-2.284164629,-2.150818478,-2.149836662,-1.888202585,-2.476172883,-2.277409258,-2.805008139
0.295,-2.087302362,-2.541074213,-2.476172883,-2.147148114,-2.541205656,-2.015710094,-2.283445699
0.3,-2.413770521,-1.890300011,-2.410617882,-1.95284103,-2.280424436,-1.885187842,-2.47939131
0.305,-2.022598691,-2.216372655,-2.541008492,-1.69205981,-2.476497456,-2.407799868,-2.544226919
0.31,-2.479846862,-1.889121163,-2.149836662,-1.95284103,-2.932377485,-2.147803366,-2.869714863
0.315,-2.284164629,-2.280292993,-2.474731918,-2.082313696,-2.801986876,-2.602897202,-2.675139494
0.32,-2.152071357,-2.150818478,-2.280227272,-2.47440347,-2.801986876,-2.473223426,-2.414621027
0.325,-2.674160364,-2.086179011,-2.215523106,-2.539827028,-2.801990424,-2.277409258,-2.544226919
0.33,-2.152071357,-2.150818478,-2.213555574,-2.277736287,-3.193158705,-1.886237428,-2.349915971
0.335,-2.739909578,-2.410028942,-1.954873328,-1.95284103,-2.932377485,-2.015710094,-2.675139494
0.34,-2.022598691,-2.411336944,-2.018264824,-2.082313696,-2.801990424,-2.538190478,-2.805008139
0.345,-2.282593609,-2.410683603,-2.345847994,-2.149701912,-2.867286287,-2.015710094,-2.935398749
0.35,-2.544683096,-2.410028942,-2.213555574,-2.017544701,-3.258122214,-2.407799868,-2.283445699
0.355,-2.544161131,-2.281077711,-2.345847994,-2.082313696,-2.932242568,-2.407276849,-2.61030326
0.36,-2.610040507,-2.345847994,-2.410617882,-2.473880451,-3.062501801,-2.277409258,-2.544226919
0.365,-2.67494233,-2.150818478,-2.086310255,-2.34401286,-2.671596266,-1.951923872,-2.67409451
0.37,-2.284164629,-2.410028942,-2.4114026,-2.018527474,-2.736884744,-2.213291954,-2.804616762
0.375,-2.349653218,-2.410683603,-2.149836662,-2.279177251,-2.867286287,-1.821598983,-2.544226919
0.38,-2.804942351,-2.280292993,-2.280227272,-2.410089201,-3.323549315,-2.603548315,-2.218741533
0.385,-2.804942351,-2.410683603,-2.801789711,-2.34401286,-2.671468172,-2.211132685,-2.47939131
0.39,-2.284164629,-2.671073446,-2.736365923,-2.34401286,-3.193158705,-2.408321833,-2.61030326
0.395,-2.544161131,-2.801855433,-2.801789711,-2.277736287,-2.801986876,-2.538581066,-2.47939131
0.4,-2.610040507,-2.801595697,-2.670876083,-2.669500804,-3.062768095,-2.147803366,-2.805008139
0.405,-2.413115861,-2.671464823,-2.280227272,-2.277736287,-3.259050804,-2.472309029,-2.935398749
0.41,-2.67494233,-2.671855411,-2.409831579,-2.149701912,-2.476172883,-2.668581088,-2.804616762
0.415,-2.544161131,-2.736497432,-2.541008492,-2.277736287,-3.192761035,-2.277409258,-2.73912669
0.42,-2.349653218,-2.541596178,-2.541008492,-1.951791444,-2.867147548,-2.5377991,-2.935398749
0.425,-2.414423863,-2.410028942,-2.801398334,-2.410089201,-2.801983334,-2.407799868,-2.413050006
0.43,-2.219459573,-2.671464823,-2.605320091,-2.410089201,-3.128129643,-2.015710094,-2.349915971
0.435,-2.804682616,-2.476172883,-2.409831579,-2.539827028,-2.932242568,-2.538190478,-2.349915971
0.44,-2.739258465,-3.062636653,-2.280227272,-2.34401286,-2.932242568,-2.277409258,-2.935657961
0.445,-2.739258465,-2.867340877,-2.671399101,-2.60479408,-3.062768095,-2.016628038,-2.935398749
0.45,-2.610040507,-2.606497771,-2.607084832,-2.410089201,-2.867286287,-2.603548315,-2.67409451
0.455,-2.935332961,-2.866759719,-2.606497771,-2.34401286,-2.932377485,-2.472309029,-2.935398749
0.46,-2.608670293,-2.606497771,-2.867147548,-2.539827028,-2.736884744,-2.213291954,-2.413836309
0.465,-2.609584689,-2.801855433,-2.541661833,-2.277736287,-3.128462632,-2.080544512,-2.54488026
0.47,-2.935332961,-2.736497432,-2.735908263,-2.60479408,-2.997272033,-2.146232345,-2.47939131
0.475,-2.609584689,-2.606497771,-2.476172883,-2.084147734,-2.671596266,-2.407799868,-2.089528682
0.48,-2.869846637,-2.605583375,-2.932439533,-2.082313696,-3.062768095,-2.08224876,-2.544226919
0.485,-2.869846637,-2.541596178,-3.062570931,-2.082313696,-2.671724101,-2.473679243,-2.805008139
0.49,-2.544683096,-2.866759719,-2.410617882,-2.277736287,-2.6066911,-2.277409258,-2.740041087
0.495,-2.674551741,-2.932246043,-2.8021803,-1.95284103,-3.127465677,-2.016628038,-2.54488026
0.5,-2.67494233,-2.932246043,-2.671921066,-2.60479408,-2.801986876,-2.212573649,-2.805008139
0.505,-2.413115861,-2.541596178,-2.931920586,-2.212835947,-2.541205656,-2.473679243,-2.544226919
0.51,-2.674551741,-2.476759944,-2.866496435,-2.539827028,-2.801986876,-2.407276849,-2.543572258
0.515,-2.674551741,-2.671464823,-2.931920586,-2.408913893,-3.063034927,-2.016628038,-2.544226919
0.52,-2.219459573,-2.671464823,-2.801789711,-2.538912631,-2.73682266,-2.016628038,-2.805008139
0.525,-2.674551741,-2.671464823,-2.801789711,-2.34401286,-2.736884744,-2.407276849,-2.805008139
0.53,-2.609584689,-2.540551194,-2.671399101,-2.34401286,-2.541205656,-2.277409258,-2.805398727
0.535,-2.869846637,-2.671464823,-2.997084608,-2.34401286,-2.671596266,-2.408321833,-2.47939131
