test,1,2,Test #,0321_1538,0321_1530,0321_1524,0321_1522,0321_1515,FEA,R=8mm,H=20mm,t=0.5mm
dv,p,p,dv,p (kps),p,p (0.7865),p (0.8486),p (1.173),dv,p,,
0.179944444,-0.845343132,-1.828356508,0.175555556,-1.625786375,-1.303248886,-1.235793019,-1.303248886,-1.304098435,3.369357,-6.08606,,
0.182222222,-0.972982979,-1.762933213,0.177777778,-1.887222256,-1.303248886,-1.429449306,-0.976912665,-1.628276974,3.378959,-6.21268,,
0.1845,-1.235924065,-1.503132985,0.18,-1.626441036,-0.846653498,-1.168404803,-1.562984266,-1.368018773,3.393125,-6.43848,,
0.186777778,-0.71403745,-1.697443933,0.182222222,-1.627746404,-1.368215937,-1.495593247,-1.303967191,-1.955066657,3.413838,-6.81464,,
0.189055556,-1.039457115,-1.503132985,0.184444444,-1.235269206,-0.977044107,-1.039979608,-1.301807921,-1.302397621,3.443696,-7.467,,
0.191333333,-0.90814856,-1.763520274,0.186666667,-1.692517377,-1.237825327,-1.495593247,-1.433573774,-1.694223551,3.454516,-7.74617,,
0.193611111,-1.169847724,-1.567838041,0.188888889,-1.887222256,-1.042599108,-1.168404803,-0.976912665,-1.042599108,3.47036,-8.20812,,
0.195888889,-1.300760299,-1.762933213,0.191111111,-1.756308627,-0.58469105,-1.038932137,-1.432985528,-1.954873328,3.476181,-8.39368,,
0.198166667,-1.235924065,-1.763520274,0.193333333,-1.887222256,-0.91312377,-1.364548603,-1.434160835,-1.497754722,3.484791,-8.68851,,
0.200444444,-1.105012116,-1.696789273,0.195555556,-1.365659816,-0.782930125,-1.038932137,-1.30252913,-1.367232471,3.487981,-8.80453,,
0.202722222,-0.583712561,-1.698749301,0.197777778,-1.821340807,-0.845735553,-1.496180308,-1.498475104,-0.846456333,3.493613,-9.01454,,
0.205,-1.300760299,-1.435744769,0.2,-1.692517377,-1.303248886,-1.560494577,-0.911159938,-2.019843729,3.497575,-9.16922,,
0.207277778,-0.583712561,-1.828356508,0.202222222,-1.366575911,-0.651624443,-1.429449306,-1.563898663,-1.693309155,3.503455,-9.40785,,
0.209555556,-1.235924065,-1.241633659,0.204444444,-1.496050426,-1.173511058,-1.233239222,-1.368084494,-1.628799993,3.512136,-9.78813,,
0.211833333,-0.844362338,-2.153520049,0.206666667,-1.171742799,-1.432922661,-1.23494347,-0.977960136,-1.172923997,3.524841,-10.4005,,
0.214111111,-0.974687227,-1.502283436,0.208888889,-1.690752635,-0.91312377,-1.103635808,-1.498475104,-1.889840425,3.529508,-10.6456,,
0.216388889,-0.844362338,-1.567053323,0.211111111,-1.171742799,-0.585872278,-1.038932137,-1.434160835,-1.107237553,3.536409,-11.0265,,
0.218666667,-0.71403745,-2.088356028,0.213333333,-1.298988118,-0.845735553,-1.430103967,-1.434160835,-1.629321958,3.546537,-11.6329,,
0.220944444,-1.300238334,-1.567053323,0.215555556,-1.496050426,-1.368215937,-1.561016542,-1.043579902,-1.498409383,3.561225,-12.614,,
0.223222222,-1.105012116,-1.437578808,0.217777778,-1.42957629,-0.91312377,-1.105599375,-1.107303275,-2.411410484,3.566578,-13.0078,,
0.2255,-1.169193064,-1.697443933,0.22,-1.756831646,-1.107434717,-1.037882551,-1.303248886,-1.433573774,3.568099,-13.1236,,
0.227777778,-0.974687227,-1.762344967,0.222222222,-1.432130088,-0.782930125,-1.690885187,-1.238478603,-1.368018773,3.571479,-13.3828,,
0.230055556,-0.974687227,-1.827834543,0.224444444,-1.756831646,-1.432922661,-1.690885187,-1.368084494,-0.716065723,3.573568,-13.5505,,
0.232333333,-1.365661893,-1.696789273,0.226666667,-1.235269206,-1.042599108,-1.168404803,-1.10638533,-1.694223551,3.575923,-13.7423,,
0.234611111,-1.039457115,-1.827311524,0.228888889,-1.42957629,-1.173511058,-1.560494577,-1.498997069,-1.236710219,3.578434,-13.9463,,
0.236888889,-0.844362338,-1.306272103,0.231111111,-1.432130088,-1.302334489,-1.690885187,-1.237693885,-1.955066657,3.581439,-14.1981,,
0.239166667,-0.974687227,-1.893713919,0.233333333,-1.431280538,-1.042599108,-1.430103967,-1.043579902,-1.042599108,3.584677,-14.4816,,
0.241444444,-0.777626309,-1.763520274,0.235555556,-1.691342069,-0.846653498,-1.494415566,-1.628474337,-2.215523106,3.587561,-14.744,,
0.243722222,-1.365661893,-1.958225153,0.237777778,-1.626441036,-1.107434717,-1.69049381,-1.10638533,-1.108285024,3.591836,-15.1498,,
0.246,-1.235924065,-1.502283436,0.24,-1.432130088,-1.368215937,-1.560494577,-0.976912665,-1.759190603,3.598129,-15.776,,
0.248277778,-1.235924065,-1.697443933,0.242222222,-1.887222256,-0.845735553,-1.494415566,-1.693898323,-1.107237553,3.607305,-16.7824,,
0.250555556,-1.235337004,-1.763520274,0.244444444,-1.42957629,-0.715213301,-1.104618581,-1.368084494,-1.889581213,3.610665,-17.1779,,
0.252833333,-0.843379565,-1.696789273,0.246666667,-1.756308627,-1.368215937,-1.038932137,-1.173773547,-1.497754722,3.615621,-17.7853,,
0.255111111,-1.038670812,-1.632608324,0.248888889,-1.821340807,-0.976257805,-1.235793019,-1.10638533,-2.019971823,3.617453,-18.0197,,
0.257388889,-1.170501066,-1.958225153,0.251111111,-1.757353611,-1.042599108,-1.690885187,-1.432396094,-1.628276974,3.620177,-18.3771,,
0.259666667,-1.365661893,-2.02358299,0.253333333,-1.757353611,-1.107434717,-1.430103967,-1.042599108,-1.43213281,3.621776,-18.5416,,
0.261944444,-0.90814856,-1.500579188,0.255555556,-1.235269206,-1.237302308,-1.23494347,-1.369389862,-1.628799993,3.624635,-18.9314,,
0.264222222,-1.105012116,-1.827311524,0.257777778,-1.821340807,-1.173511058,-1.560494577,-1.628474337,-1.759190603,3.626645,-19.2182,,
0.2665,-0.909982599,-1.697443933,0.26,-1.561605427,-1.173511058,-1.365268358,-1.369389862,-1.107237553,3.629625,-19.6583,,
0.268777778,-0.90814856,-1.632608324,0.262222222,-1.495264123,-1.106780057,-1.235793019,-1.497952086,-1.823897327,3.634021,-20.3283,,
0.271055556,-1.039457115,-1.306272103,0.264444444,-1.822255204,-0.91312377,-1.23494347,-1.10638533,-1.433573774,3.640445,-21.3915,,
0.273333333,-0.715149488,-1.502283436,0.266666667,-1.30095565,-0.782930125,-1.496180308,-1.172923997,-1.368018773,3.642801,-21.805,,
0.275611111,-1.038670812,-1.828356508,0.268888889,-1.561605427,-0.716262888,-1.495593247,-1.628865714,-1.497754722,3.644985,-22.2,,
0.277888889,-1.234159324,-1.306272103,0.271111111,-1.822255204,-0.976257805,-1.365268358,-1.171219749,-1.562720982,3.646458,-22.4723,,
0.280166667,-0.90814856,-1.305222517,0.273333333,-1.42957629,-0.846653498,-1.559971558,-1.432396094,-1.954485499,3.649,-22.9461,,
0.282444444,-1.430628944,-1.241633659,0.275555556,-1.496050426,-1.303248886,-1.168404803,-1.498475104,-1.303248886,3.650269,-23.1775,,
0.284722222,-0.974687227,-1.369991015,0.277777778,-1.626441036,-0.716262888,-0.908541527,-1.368084494,-1.759190603,3.652785,-23.7202,,
0.287,-1.300238334,-1.242745697,0.28,-1.364741872,-1.107434717,-1.365268358,-1.042599108,-1.107237553,3.654149,-24.0057,,
0.289277778,-1.10429236,-1.371958547,0.282222222,-1.822255204,-1.107434717,-1.430103967,-1.498997069,-1.563898663,3.656175,-24.4397,,
0.291555556,-1.038670812,-1.63332663,0.284444444,-1.235269206,-0.846653498,-1.364548603,-1.497952086,-1.108285024,3.659169,-25.1051,,
0.293833333,-0.972982979,-1.892343705,0.286666667,-1.822255204,-1.171746317,-1.23494347,-1.173773547,-1.694223551,3.66356,-26.1386,,
0.296111111,-1.169847724,-1.435744769,0.288888889,-1.887222256,-0.846653498,-1.299713357,-1.043579902,-1.759190603,3.669921,-27.7738,,
0.298388889,-1.169193064,-1.369991015,0.291111111,-1.432130088,-0.846653498,-1.365268358,-1.172923997,-1.564485724,3.670504,-27.9325,,
0.300666667,-1.105012116,-1.763520274,0.293333333,-1.625786375,-1.042599108,-1.560494577,-1.303248886,-0.651624443,3.672184,-28.4011,,
0.302944444,-1.561019554,-1.306272103,0.295555556,-1.756308627,-0.91312377,-1.560494577,-0.975863079,-2.150365981,3.6739907,-28.9223,,
0.305222222,-1.430628944,-1.241633659,0.297777778,-1.235269206,-1.107434717,-1.233239222,-1.238478603,-1.108285024,3.6751728,-29.2594,,
0.3075,-0.90814856,-1.370975774,0.3,-1.432130088,-0.91312377,-1.105599375,-1.10638533,-1.628276974,3.6768021,-29.7064,,
0.309777778,-1.039457115,-1.63332663,0.302222222,-1.364741872,-1.238347292,-0.974293693,-1.432985528,-0.716065723,3.6783316,-30.1908,,
0.312055556,-0.974687227,-1.437578808,0.304444444,-1.561605427,-1.433248546,-1.430103967,-1.10638533,-2.150362433,3.6801444,-30.7713,,
0.314333333,-1.234748758,-1.500579188,0.306666667,-1.626441036,-1.107434717,-1.168404803,-1.498475104,-1.303248886,3.6814952,-31.2084,,
0.316611111,-0.844362338,-1.958225153,0.308888889,-1.625786375,-1.107434717,-1.102651049,-1.562984266,-1.694679368,3.6835707,-31.8998,,
0.318888889,-0.845343132,-1.63332663,0.311111111,-1.364741872,-1.237302308,-1.690885187,-1.56435448,-1.237628163,3.6854088,-32.5336,,
0.321166667,-0.71403745,-1.697443933,0.313333333,-1.626441036,-0.910569972,-1.561016542,-1.107303275,-1.82454844,3.6881135,-33.5033,,
0.323444444,-1.299715315,-1.827834543,0.315555556,-1.822255204,-0.390974666,-1.496180308,-1.172923997,-1.759581191,3.6891115,-33.869,,
0.325722222,-0.972982979,-1.892801364,0.317777778,-1.366575911,-1.303248886,-1.430103967,-1.303248886,-1.303248886,3.6905921,-34.4268,,
0.328,-1.234748758,-1.827311524,0.32,-1.822255204,-0.845735553,-1.495593247,-1.10638533,-1.694223551,3.6912561,-34.6775,,
0.330277778,-1.235924065,-1.371958547,0.322222222,-1.561605427,-1.238347292,-1.235793019,-1.434160835,-0.585675114,,,,
0.332555556,-1.169193064,-1.435744769,0.324444444,-1.757353611,-1.043317414,-1.560494577,-1.497952086,-2.019971823,,,,
0.334833333,-0.972982979,-1.566267021,0.326666667,-1.561605427,-1.107434717,-1.690885187,-1.172923997,-1.043711146,,,,
0.337111111,-1.235924065,-1.435744769,0.328888889,-1.822255204,-0.91312377,-1.625003739,-1.693572438,-1.889581213,,,,
0.339388889,-0.778675895,-1.761755532,0.331111111,-1.30095565,-1.368215937,-1.495593247,-1.237693885,-1.368018773,,,,
0.341666667,-1.430628944,-1.241633659,0.333333333,-1.236316677,-1.043317414,-0.843968804,-1.303967191,-1.629321958,,,,
0.343944444,-1.299715315,-1.306272103,0.335555556,-1.690752635,-1.043317414,-1.169322747,-1.497952086,-1.172923997,,,,
0.346222222,-1.235924065,-1.763520274,0.337777778,-1.561605427,-1.302334489,-1.496180308,-1.237693885,-1.759190603,,,,
0.3485,-0.909066505,-1.567053323,0.34,-2.017612866,-1.042599108,-1.625918135,-1.108219369,-1.108285024,,,,
0.350777778,-1.169847724,-1.632608324,0.342222222,-1.886830879,-1.041158144,-1.365268358,-1.56435448,-1.758799226,,,,
0.353055556,-1.300238334,-1.828356508,0.344444444,-1.887222256,-0.977828825,-1.821275797,-1.368737836,-1.236710219,,,,
0.355333333,-1.299715315,-1.63332663,0.346666667,-1.626441036,-0.716262888,-1.233239222,-1.301807921,-1.694223551,,,,
0.357611111,-1.364747496,-1.435744769,0.348888889,-1.495264123,-1.107434717,-1.038932137,-1.172923997,-1.759190603,,,,
0.359888889,-0.974687227,-1.502283436,0.351111111,-1.952254865,-1.107434717,-1.430103967,-1.368737836,-2.215523106,,,,
0.362166667,-1.040241833,-1.632608324,0.353333333,-1.496050426,-0.977044107,-1.233239222,-1.434160835,-1.367232471,,,,
0.364444444,-1.105730421,-1.435744769,0.355555556,-1.235269206,-1.173511058,-1.559971558,-1.628865714,-1.304098435,,,,
0.366722222,-1.040241833,-1.893258101,0.357777778,-1.301936444,-0.782930125,-1.496180308,-1.173773547,-1.759190603,,,,
0.369,-1.040241833,-1.698097275,0.36,-1.299972877,-0.977044107,-1.105599375,-1.237693885,-1.889581213,,,,
0.371277778,-1.235924065,-1.632608324,0.362222222,-1.756308627,-0.587051125,-1.496180308,-1.236907582,-1.498409383,,,,
0.373555556,-1.300760299,-1.372939341,0.364444444,-1.627094377,-0.845735553,-1.625003739,-0.976912665,-1.107237553,,,,
0.375833333,-1.105730421,-1.893258101,0.366666667,-1.495264123,-1.108088059,-1.365268358,-1.237693885,-1.564485724,,,,
0.378111111,-1.299715315,-1.503132985,0.368888889,-1.23421962,-1.042599108,-1.690885187,-1.628865714,-1.303248886,,,,
0.380388889,-1.169847724,-1.503132985,0.371111111,-1.560164463,-0.91312377,-1.365268358,-1.498475104,-2.019971823,,,,
0.382666667,-1.430628944,-1.763520274,0.373333333,-1.626441036,-0.91227422,-1.168404803,-1.434160835,-1.106187967,,,,
0.384944444,-0.90814856,-1.241633659,0.375555556,-1.757353611,-0.846653498,-1.169322747,-1.107303275,-2.085198217,,,,
0.387222222,-1.039457115,-1.436662713,0.377777778,-1.561605427,-0.780966558,-1.299713357,-1.432396094,-1.042599108,,,,
0.3895,-0.975536777,-1.697443933,0.38,-1.756308627,-0.977828825,-1.233239222,-1.368737836,-1.629321958,,,,
0.391777778,-1.365205156,-2.088615763,0.382222222,-1.364741872,-1.173511058,-1.430103967,-1.172923997,-1.043711146,,,,
0.394055556,-1.300238334,-1.567053323,0.384444444,-1.952580093,-0.91227422,-1.561016542,-1.173773547,-2.150362433,,,,
0.396333333,-0.845343132,-1.306272103,0.386666667,-1.432130088,-1.173511058,-1.495593247,-1.368084494,-0.91227422,,,,
0.398611111,-1.365661893,-1.502283436,0.388888889,-1.561605427,-1.172923997,-1.365268358,-1.628865714,-2.150362433,,,,
0.400888889,-1.169847724,-1.698097275,0.391111111,-1.626441036,-0.845735553,-1.430103967,-1.236907582,-1.368803491,,,,
0.403166667,-1.169847724,-1.763520274,0.393333333,-1.432130088,-1.107434717,-1.430103967,-1.107303275,-1.301544637,,,,
0.405444444,-1.169193064,-1.632608324,0.395555556,-1.365659816,-1.107434717,-1.69049381,-1.628865714,-1.693309155,,,,
0.407722222,-1.105012116,-1.500579188,0.397777778,-1.887222256,-0.91227422,-1.235793019,-1.432396094,-2.020099658,,,,
0.41,-0.648285285,-1.567053323,0.4,-1.757353611,-0.846653498,-1.626373952,-1.368084494,-1.43429208,,,,
0.412277778,-1.235924065,-1.503132985,0.402222222,-1.235269206,-0.910569972,-1.038932137,-1.10638533,-1.564485724,,,,
0.414555556,-0.972982979,-1.567053323,0.404444444,-1.561605427,-1.107434717,-1.430103967,-1.109133619,-1.758799226,,,,
0.416833333,-0.712923168,-1.828356508,0.406666667,-1.299972877,-0.91312377,-1.561016542,-0.976912665,-1.693309155,,,,
0.419111111,-0.974687227,-1.697443933,0.408888889,-1.562323732,-1.238347292,-1.494415566,-1.498475104,-1.562720982,,,,
0.421388889,-0.71403745,-1.306272103,0.411111111,-2.01735313,-0.91312377,-1.496180308,-1.368084494,-1.303248886,,,,
0.423666667,-0.845343132,-1.437578808,0.413333333,-1.170630761,-0.781949331,-1.038932137,-1.173773547,-1.759190603,,,,
0.425944444,-0.71403745,-1.305222517,0.415555556,-1.235269206,-1.108088059,-1.104618581,-1.173773547,-1.304098435,,,,
0.428222222,-1.169847724,-1.827311524,0.417777778,-1.691930316,-0.977044107,-1.168404803,-1.041616335,-1.497754722,,,,
0.4305,-0.71403745,-1.502283436,0.42,-1.756831646,-1.36782456,-1.561016542,-0.976912665,-1.43429208,,,,
0.432777778,-1.235924065,-1.435744769,0.422222222,-1.432130088,-1.172923997,-1.235793019,-1.432985528,-1.759190603,,,,
0.435055556,-1.169847724,-1.892343705,0.424444444,-1.626441036,-0.845735553,-1.821275797,-1.237693885,-1.562720982,,,,
