p [kPa],Beta1 (deg),Beta2 (deg)
3.0588,58.13601837,49.05278561
3.0626,58.24119109,49.16600765
3.0663,58.26377359,49.34000894
3.0701,58.3839952,49.47884975
3.0738,58.45154401,49.57494294
3.0776,58.59201506,49.69840876
3.0813,58.65304972,49.75594139
3.0851,58.75498149,49.97266343
3.0888,58.92676869,49.95912446
3.0926,58.960185,50.15836749
3.0963,59.02615761,50.19696833
3.1001,59.17586669,50.46102893
3.1038,59.20652929,50.49495989
3.1076,59.29710166,50.62006693
3.1113,59.30686323,50.73491878
3.1151,59.4536442,50.94098996
3.1188,59.4766915,50.99104959
3.1226,59.67600327,51.0879033
3.1264,59.70405242,51.17188081
3.1301,59.83069217,51.39380808
3.1339,59.88165537,51.39986102
3.1376,60.06397329,51.64098543
3.1414,60.05619832,51.62610122
3.1451,60.13610337,51.83725374
3.1489,60.21852634,51.89659425
3.1526,60.36020864,52.10467006
3.1564,60.42964548,52.08385779
3.1601,60.44074707,52.23555659
3.1639,60.62671804,52.34582932
3.1676,60.74313195,52.47650584
3.1714,60.71741086,52.55661256
3.1751,60.8924176,52.666708
3.1789,60.93327968,52.79531428
3.1827,61.07187744,52.92565073
3.1864,61.17966149,52.99260783
3.1902,61.19626955,53.16160258
3.1939,61.37154256,53.23728231
3.1977,61.33983189,53.36167805
3.2014,61.55299427,53.41611071
3.2052,61.54240183,53.53802513
3.2089,61.62662082,53.68500998
3.2127,61.73418679,53.8487789
3.2164,61.82742953,53.91036339
3.2202,61.88603561,54.01866055
3.2239,61.89495175,54.07567361
3.2277,62.01694579,54.2338941
3.2314,62.12926117,54.30295516
3.2352,62.24644866,54.47404202
3.2389,62.29994674,54.54586585
3.2427,62.4348879,54.70252795
3.2465,62.56499309,54.73753356
3.2502,62.63612763,54.98044422
3.2540,62.70845321,55.07443349
3.2577,62.80644639,55.07991113
3.2615,62.85189667,55.18869738
3.2652,63.001592,55.42060021
3.2690,63.01378679,55.485499
3.2727,63.09594308,55.5993398
3.2765,63.1547522,55.60837742
3.2802,63.25156156,55.73602628
3.2840,63.31291689,55.79186016
3.2877,63.42621542,56.02648159
3.2915,63.44771262,56.08114187
3.2952,63.5463998,56.21858079
3.2990,63.58246611,56.262548
3.3028,63.73608993,56.49559103
3.3065,63.72198599,56.56124285
3.3103,63.84213379,56.64375553
3.3140,63.87696257,56.84553939
3.3178,64.04391914,56.80563934
3.3215,64.1025927,56.92770412
3.3253,64.10326099,57.02802373
3.3290,64.22320866,57.2485781
3.3328,64.33098021,57.30769353
3.3365,64.38958709,57.35650558
3.3403,64.45126369,57.50566758
3.3440,64.57114657,57.6199992
3.3478,64.6442724,57.74841792
3.3515,64.72595847,57.80602834
3.3553,64.78171163,57.91840753
3.3590,64.88134805,58.02706497
3.3628,64.96649978,58.06614092
3.3666,64.94282709,58.32010696
3.3703,65.04236239,58.23654733
3.3741,65.12152125,58.5563292
3.3778,65.14190523,58.45661428
3.3816,65.27551969,58.696561
3.3853,65.35610634,58.60990458
3.3891,65.44629844,58.89325398
3.3928,65.52239,58.80709795
3.3966,65.51862453,59.07146873
3.4003,65.6429034,59.03822315
3.4041,65.72717783,59.26930281
3.4078,65.79916741,59.24998822
3.4116,65.90538171,59.25477222
3.4153,65.87932244,59.33179215
3.4191,65.91496496,59.42339736
3.4229,66.09063632,59.50994715
3.4266,66.21051075,59.79957392
3.4304,66.24506079,59.69779777
3.4341,66.39914737,59.92416489
3.4379,66.34680457,59.88628015
3.4416,66.52616784,60.08802541
3.4454,66.56844682,60.00208651
3.4491,66.49451185,60.3033405
3.4529,66.594073,60.28527195
3.4566,66.74538245,60.47591681
3.4604,66.71367684,60.44612766
3.4641,66.86222937,60.83494285
3.4679,66.94329445,60.62004522
3.4716,67.04287565,60.80312827
3.4754,67.11892479,60.8070005
3.4791,67.16276827,61.05530864
3.4829,67.26922817,61.00197262
3.4867,67.3956613,61.08094533
3.4904,67.42667356,61.11642334
3.4942,67.42844445,61.31897677
3.4979,67.48996884,61.28419636
3.5017,67.63557332,61.45527685
3.5054,67.68399738,61.42141835
3.5092,67.62948011,61.46890446
3.5129,67.74723243,61.66161973
3.5167,67.899626,61.73399529
3.5204,67.9265936,61.71084737
3.5242,68.00342697,61.95377869
3.5279,68.04896969,61.87624613
3.5317,68.06949665,61.92904898
3.5354,68.27386564,62.10423262
3.5392,68.28828455,62.13266357
3.5430,68.27772436,62.18140912
3.5467,68.31711652,62.41344736
3.5505,68.42556683,62.37093679
3.5542,68.54357062,62.4813652
3.5580,68.6287659,62.49552458
3.5617,68.63132218,62.6739782
3.5655,68.67722876,62.63717589
3.5692,68.7077509,62.78414455
3.5730,68.86883853,62.86972109
3.5767,68.96323017,63.01298654
3.5805,68.97077141,62.92943519
3.5842,68.99145668,63.00014365
3.5880,69.01908646,63.19451415
3.5917,69.06220943,63.25239866
3.5955,69.14325866,63.24755122
3.5992,69.16684,63.3906926
3.6030,69.28173267,63.46761328
3.6068,69.32896459,63.35558595
3.6105,69.37619977,63.5734634
3.6143,69.43364437,63.60384071
3.6180,69.49614554,63.66414919
3.6218,69.60752788,63.71629307
3.6255,69.73643946,63.77225842
3.6293,69.74980772,63.85834668
3.6330,69.75321924,63.94861508
3.6368,69.91279133,63.97867899
3.6405,69.88896311,64.0988288
3.6443,70.05902121,64.15671243
3.6480,70.09574655,64.16903019
3.6518,70.07916588,64.28311121
3.6555,70.14364541,64.34907183
3.6593,70.10237395,64.37876874
3.6631,70.25989668,64.52773951
3.6668,70.27600577,64.50985907
3.6706,70.34017666,64.57188653
3.6743,70.51508615,64.60045656
3.6781,70.5727169,64.76484992
3.6818,70.63252944,64.75009457
3.6856,70.63562092,64.78031821
3.6893,70.63471723,64.83546173
3.6931,70.76262389,64.95565421
3.6968,70.95804284,64.99013436
3.7006,70.94188728,65.10495211
3.7043,70.88976215,65.20851679
3.7081,71.02701662,65.25023601
3.7118,71.01703467,65.34980922
3.7156,71.14492464,65.40587015
3.7193,71.22149987,65.44077732
3.7231,71.2156335,65.47904175
3.7269,71.33916893,65.54464656
3.7306,71.40511225,65.66631514
3.7344,71.48594799,65.65517203
3.7381,71.53731013,65.77893478
3.7419,71.59417277,65.77709022
3.7456,71.71707215,65.80293726
3.7494,71.73596645,65.92458686
3.7531,71.82583018,66.01885386
3.7569,71.83058409,65.98310637
3.7606,71.96282652,66.20633507
3.7644,72.01441663,66.1568394
3.7681,72.01488391,66.32200647
3.7719,72.0669666,66.28124107
3.7756,72.07630945,66.38431834
3.7794,72.07659436,66.46944552
3.7832,72.26161354,66.58836262
3.7869,72.37218321,66.60031346
3.7907,72.35990746,66.68818338
3.7944,72.38788662,66.82163496
3.7982,72.38353943,66.91362144
3.8019,72.42186286,66.90988097
3.8057,72.62553042,66.98523628
3.8094,72.67885744,67.09139305
3.8132,72.71892269,67.19715479
3.8169,72.71892269,67.38857594
3.8207,72.78524239,67.3339354
3.8244,72.7525013,67.41253199
3.8282,72.90385595,67.54923426
3.8319,73.00081387,67.60731534
3.8357,72.95564942,67.66183211
3.8394,72.98030961,67.75043579
3.8432,73.07940919,67.8743788
3.8470,73.19580648,67.8826829
3.8507,73.27044579,67.99349112
3.8545,73.22310747,67.96922647
3.8582,73.34144931,68.04209793
3.8620,73.41551086,68.12314815
3.8657,73.4265069,68.1746418
3.8695,73.45906357,68.35964513
3.8732,73.54999749,68.41446686
3.8770,73.63032558,68.50778902
3.8807,73.66230945,68.6458106
3.8845,73.76316255,68.6664611
3.8882,73.75772914,68.74193743
3.8920,73.79030244,68.79361521
3.8957,73.82868846,68.94785151
3.8995,73.89348266,68.97069506
3.9033,74.01977123,69.10835454
3.9070,74.02507309,69.11348298
3.9108,74.02847791,69.14669754
3.9145,74.07241406,69.23044006
3.9183,74.21009434,69.38347133
3.9220,74.24360182,69.39991842
3.9258,74.33703183,69.53939797
3.9295,74.36172369,69.62070734
3.9333,74.424027,69.74535062
3.9370,74.42513872,69.76620899
3.9408,74.54447496,69.84929426
3.9445,74.69779853,69.87599157
3.9483,74.71911572,70.07356877
3.9520,74.76566741,70.12062647
3.9558,74.82223268,70.19802792
3.9595,74.80702071,70.23908554
3.9633,75.0197245,70.35425559
3.9671,75.05183333,70.48225804
3.9708,75.11022018,70.55713965
3.9746,75.24478713,70.61688425
3.9783,75.31466963,70.73248044
3.9821,75.34209383,70.84870311
3.9858,75.30491901,70.93371657
3.9896,75.37131319,71.00090476
3.9933,75.43542942,71.09660252
3.9971,75.48831665,71.17527194
4.0008,75.61938278,71.19117155
4.0046,75.65849575,71.26781821
4.0083,75.71148972,71.47408818
4.0121,75.8161874,71.44266382
4.0158,75.85907918,71.54744579
4.0196,75.84353438,71.55567245
4.0234,75.92249746,71.72317656
4.0271,75.99435263,71.7310375
4.0309,76.02322884,71.91206093
4.0346,76.19112424,71.89624244
4.0384,76.14120015,72.02764188
4.0421,76.23740897,72.16658645
4.0459,76.24113094,72.29238903
4.0496,76.28417498,72.28943065
4.0534,76.40629901,72.3785561
4.0571,76.43587443,72.43806298
4.0609,76.46534443,72.59710944
4.0646,76.52639044,72.60449856
4.0684,76.58349318,72.74878119
4.0721,76.62871705,72.79010692
4.0759,76.75065091,72.9572954
4.0796,76.70529217,73.03972694
4.0834,76.88448602,73.12067757
4.0872,76.90167766,73.11013051
4.0909,76.97717833,73.25901663
4.0947,77.06660612,73.39362717
4.0984,77.12260293,73.39260948
4.1022,77.10324387,73.46745111
4.1059,77.16213813,73.66577463
4.1097,77.14554377,73.6846491
4.1134,77.26867994,73.79649193
4.1172,77.31342502,73.8499995
4.1209,77.46634059,73.92577331
4.1247,77.42676166,73.98757583
4.1284,77.56403574,74.05550917
4.1322,77.58436341,74.08946873
4.1359,77.65720342,74.2635041
4.1397,77.74396298,74.31671808
4.1435,77.75388743,74.46057827
4.1472,77.78857442,74.43939339
4.1510,77.91872521,74.56648842
4.1547,78.05316932,74.60469377
4.1585,77.99450457,74.76174395
4.1622,78.05465567,74.7699916
4.1660,78.09236164,74.89937524
4.1697,78.1702636,74.93371726
4.1735,78.15733615,75.03485825
4.1772,78.2678774,75.17481897
4.1810,78.38927958,75.19743283
4.1847,78.52133832,75.25017796
4.1885,78.48624311,75.33266627
4.1922,78.4698873,75.32680176
4.1960,78.56403922,75.41760526
4.1997,78.62537212,75.49296481
4.2035,78.72228186,75.54213604
4.2073,78.83628249,75.52576277
4.2110,78.8444872,75.67458924
4.2148,78.92325343,75.7434151
4.2185,78.94812926,75.86428169
4.2223,79.03627951,75.98403329
4.2260,79.11597893,75.98698007
4.2298,79.15958093,76.00312848
4.2335,79.23786177,76.07741607
4.2373,79.21941286,76.0971609
4.2410,79.33183772,76.19846794
4.2448,79.44338022,76.30149664
4.2485,79.48275252,76.29438859
4.2523,79.51365746,76.39575141
4.2560,79.56982673,76.47028405
4.2598,79.55961571,76.46698478
4.2636,79.613372,76.60347945
4.2673,79.66764463,76.642729
4.2711,79.67012605,76.71141396
4.2748,79.71070023,76.7225585
4.2786,79.76745167,76.84334646
4.2823,79.78087456,76.87770819
4.2861,79.8378766,76.95013332
4.2898,79.86470203,76.88772099
4.2936,79.9049834,77.04956987
4.2973,79.95858822,77.06842212
4.3011,80.11978118,77.09067874
4.3048,80.14986908,77.17196884
4.3086,80.17003436,77.30499202
4.3123,80.19660138,77.32360466
4.3161,80.25708448,77.47157533
4.3198,80.26693164,77.47603661
4.3236,80.35086976,77.62735272
4.3274,80.36689383,77.65030592
4.3311,80.42834679,77.73891947
4.3349,80.49146031,77.76952193
4.3386,80.52497411,77.92386413
4.3424,80.56012242,77.92238998
4.3461,80.64295443,77.93162592
4.3499,80.56659265,78.03386322
4.3536,80.71003584,78.15168363
4.3574,80.74037611,78.11522967
4.3611,80.84158373,78.1959669
4.3649,80.9080956,78.32085438
4.3686,80.87196798,78.34880575
4.3724,80.87693153,78.32317416
4.3761,80.97201953,78.41035385
4.3799,81.07053195,78.52835535
4.3837,81.0883504,78.66517486
4.3874,81.10547145,78.67184463
4.3912,81.1693948,78.7027634
4.3949,81.20682634,78.73364506
4.3987,81.27928552,78.8986477
4.4024,81.32997494,78.89140342
4.4062,81.3705462,78.97639056
4.4099,81.41421514,78.96999569
4.4137,81.47110825,79.14049926
4.4174,81.47205079,79.09830991
4.4212,81.59399996,79.23457403
4.4249,81.60721853,79.32649574
4.4287,81.66309709,79.37532485
4.4324,81.76288903,79.38726002
4.4362,81.7576423,79.45528881
4.4399,81.81568536,79.50064762
4.4437,81.86008316,79.6511461
4.4475,81.91155193,79.65574755
4.4512,82.00600213,79.72022508
4.4550,82.02337337,79.7207356
4.4587,82.08146914,79.85145245
4.4625,82.05517962,79.82324795
4.4662,82.18332964,79.96223596
4.4700,82.23584449,79.96971234
4.4737,82.28680167,80.14498958
4.4775,82.36109815,80.16438956
4.4812,82.36838725,80.22236111
4.4850,82.39609186,80.22998937
4.4887,82.48935068,80.29969429
4.4925,82.50399457,80.37760657
4.4962,82.56946736,80.481524
