p [kPa],Beta1 (deg),Beta2 (deg)
0.6155,2.881398121,1.814316981
0.6193,2.894584755,1.814316981
0.6230,2.97003145,1.851973448
0.6268,2.985094258,1.851973448
0.6305,2.987231743,1.874159927
0.6343,2.985326072,1.912876434
0.6380,3.013243693,1.960681397
0.6418,3.014192261,1.957251791
0.6455,3.110272228,1.946725835
0.6493,3.110272228,1.958394573
0.6530,3.161648351,1.998201411
0.6568,3.164416992,1.994573935
0.6606,3.214860566,2.02964454
0.6643,3.226957624,2.02964454
0.6681,3.255052937,2.081164982
0.6718,3.317617304,2.081164982
0.6756,3.308237136,2.09169923
0.6793,3.320301738,2.081164982
0.6831,3.344888849,2.15135774
0.6868,3.391330501,2.15135774
0.6906,3.397495705,2.171226034
0.6943,3.4153931,2.171226034
0.6981,3.410125848,2.20041822
0.7018,3.4280599,2.203980871
0.7056,3.482960466,2.228605105
0.7093,3.489783227,2.228605105
0.7131,3.58747516,2.235549517
0.7168,3.589168066,2.235549517
0.7206,3.598600009,2.290562957
0.7244,3.66444023,2.308332085
0.7281,3.701399009,2.329782237
0.7319,3.714152619,2.328567615
0.7356,3.744164294,2.358564727
0.7394,3.767165523,2.358564727
0.7431,3.880951558,2.405073168
0.7469,3.92766028,2.387703409
0.7506,3.928446074,2.408749792
0.7544,3.982207369,2.408749792
0.7581,3.963980945,2.462593828
0.7619,3.986082074,2.44590541
0.7656,3.971148079,2.458887273
0.7694,3.99381068,2.447137666
0.7731,4.050369513,2.508413252
0.7769,4.11739732,2.507168289
0.7807,4.12617983,2.513954574
0.7844,4.150479647,2.505923783
0.7882,4.188637355,2.523225607
0.7919,4.226121358,2.532492833
0.7957,4.291504705,2.504679734
0.7994,4.331232572,2.532492833
0.8032,4.363527279,2.612389069
0.8069,4.413582699,2.612389069
0.8107,4.403288047,2.643946284
0.8144,4.48428013,2.633427677
0.8182,4.510334157,2.695253543
0.8219,4.579668805,2.70987507
0.8257,4.568032235,2.717563441
0.8294,4.597285459,2.717563441
0.8332,4.611880928,2.718846483
0.8369,4.683281169,2.718846483
0.8407,4.721892523,2.749106603
0.8445,4.764381866,2.753173917
0.8482,4.754718422,2.767549345
0.8520,4.754718422,2.757040175
0.8557,4.847418765,2.783234874
0.8595,4.881396547,2.802967316
0.8632,4.919531558,2.820088077
0.8670,4.921961387,2.837114102
0.8707,4.947425845,2.830594395
0.8745,4.969129702,2.830594395
0.8782,5.021978825,2.842405117
0.8820,5.042592446,2.854219633
0.8857,5.095859346,2.897566781
0.8895,5.105013096,2.900198885
0.8932,5.189708881,2.909393137
0.8970,5.253159512,2.909393137
0.9008,5.244510076,2.925186463
0.9045,5.293806278,2.943570123
0.9083,5.341049639,3.002803886
0.9120,5.4039837,3.00146758
0.9158,5.377779463,3.033018768
0.9195,5.398890802,3.023842302
0.9233,5.538057169,3.044878749
0.9270,5.548371783,3.028995708
0.9308,5.564592498,3.063218316
0.9345,5.612680808,3.063218316
0.9383,5.650574192,3.051360308
0.9420,5.673106208,3.051360308
0.9458,5.7466798,3.059179662
0.9495,5.758359393,3.030336236
0.9533,5.820182255,3.090699211
0.9570,5.830042808,3.090699211
0.9608,5.882010886,3.10526614
0.9646,5.912069131,3.10526614
0.9683,6.024254586,3.124928984
0.9721,6.046914355,3.118490735
0.9758,6.076639375,3.138157275
0.9796,6.118679525,3.138157275
0.9833,6.201545279,3.130364331
0.9871,6.243524546,3.130364331
0.9908,6.303573385,3.198938163
0.9946,6.313532945,3.205335036
0.9983,6.386798696,3.250150585
1.0021,6.438370031,3.250150585
1.0058,6.480610242,3.288042677
1.0096,6.543100404,3.278920956
1.0133,6.594021544,3.317419381
1.0171,6.646764366,3.317419381
1.0209,6.613431499,3.281695742
1.0246,6.655001554,3.292209776
1.0284,6.758453308,3.331467076
1.0321,6.748973212,3.326540807
1.0359,6.799718612,3.356684671
1.0396,6.83146007,3.356684671
1.0434,6.975112967,3.373494757
1.0471,6.955201638,3.358086608
1.0509,7.047566483,3.362279825
1.0546,7.056990572,3.387473426
1.0584,7.109254948,3.44560645
1.0621,7.181088955,3.44560645
1.0659,7.202327249,3.456106573
1.0696,7.254105538,3.44560645
1.0734,7.345929208,3.506667776
1.0771,7.317943315,3.508097262
1.0809,7.44982428,3.475138068
1.0847,7.398703532,3.475138068
