beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
0.628961237,1.219857559,0.80125828,-0.305
0.62693748,1.232738912,0.801783724,-0.349
0.626959888,1.236703406,0.799674013,-0.393
0.629364537,1.231798352,0.798589242,-0.370
0.634018325,1.219857559,0.802030218,-0.262
0.640932767,1.201799535,0.81456663,-0.241
0.648215785,1.185593835,0.833343532,-0.524
0.654572637,1.1764601,0.856119306,-0.175
0.659073511,1.177965087,0.87962677,-0.523
0.659786123,1.194823566,0.899304535,-0.589
0.659869996,1.219301961,0.913974491,-0.436
0.66126034,1.245553837,0.922450139,-0.457
0.665834092,1.267455337,0.924913607,-0.328
0.675768891,1.275043997,0.920656947,-0.696
0.690166936,1.274097421,0.915780983,-0.500
0.708125671,1.267329296,0.91426992,-0.632
0.728103609,1.258612724,0.9191657,-0.480
0.747514128,1.254390368,0.93542224,-0.415
0.765863292,1.253478191,0.956480493,-0.522
0.782222707,1.256078646,0.97820372,-0.264
0.796155957,1.261332679,0.996462342,-0.348
0.807102471,1.266055327,1.002669424,-0.479
0.816729527,1.271249599,1.004839593,-0.370
0.826281507,1.276296774,1.006533804,-0.522
0.836926081,1.280823751,1.011309582,-0.350
0.849593745,1.284316436,1.026426425,-0.587
0.864314441,1.287963779,1.044553219,-0.609
0.88065748,1.292741707,1.062017654,-0.545
0.8976884,1.299721595,1.075047235,-0.435
0.913589234,1.308755333,1.076144155,-0.370
0.92799664,1.322162539,1.072255445,-0.480
0.940088666,1.340486997,1.066924224,-0.459
0.949316402,1.363318036,1.064187701,-0.457
0.954944084,1.390411456,1.069765047,-0.610
0.958141581,1.417713982,1.082070451,-0.458
0.959845357,1.442155526,1.100263472,-0.393
0.961157012,1.461231577,1.122231932,-0.502
0.963337367,1.469875264,1.143548735,-0.501
0.967073062,1.474206306,1.163782201,-0.611
0.973007784,1.477407726,1.181151019,-0.371
0.981561509,1.482511532,1.19439294,-0.588
0.991280692,1.495070332,1.202717389,-0.218
1.004734588,1.509973475,1.20670975,-0.392
1.022313428,1.524705136,1.207448876,-0.415
1.043595524,1.536727729,1.206556528,-0.567
1.06912598,1.538884079,1.205081942,-0.502
1.093845198,1.539730192,1.20627086,-0.501
1.114515442,1.542945958,1.212051369,-0.414
1.128673939,1.551691681,1.223495075,-0.436
1.131887334,1.572064394,1.240698063,-0.609
1.130325827,1.596410467,1.262365169,-0.719
1.127790493,1.620287839,1.286435133,-0.522
1.128110522,1.639229277,1.310367842,-0.631
1.135850292,1.64477055,1.3309277,-0.393
1.149330229,1.644242416,1.347226358,-0.632
1.166890269,1.641280318,1.358414942,-0.676
1.185546108,1.640051633,1.364530254,-0.567
1.201363907,1.646510499,1.365012219,-0.588
1.211621001,1.658764013,1.36364774,-0.370
1.214226521,1.675741833,1.362861987,-0.719
1.208708438,1.695089908,1.364530254,-0.610
1.193190364,1.711704212,1.370847012,-0.806
1.175955154,1.726005743,1.379361209,-0.414
1.162583435,1.736684175,1.388105359,-0.805
1.157831946,1.743033475,1.394862987,-0.305
1.167993934,1.744865567,1.394930268,-0.717
1.187504976,1.743254431,1.391961278,-0.588
1.212287717,1.739710792,1.387382787,-0.566
1.237338404,1.736179974,1.382839199,-0.631
1.254061982,1.7328481,1.381619883,-0.717
1.265681762,1.734661005,1.381587927,-1.021
1.272918874,1.743830106,1.382168476,-0.762
1.277589625,1.761164251,1.382839199,-0.784
1.283441096,1.787539056,1.379853195,-0.697
1.29026266,1.81776498,1.379442409,-0.523
