dV/V0,beta_1 (deg),beta_2 (deg),beta_3 (deg)
0.202643172,5.193726726,3.539948264,5.658981832
0.204405286,5.277441197,3.728339781,5.842182022
0.206167401,5.365439865,3.825341813,6.0046137
0.207929515,5.675179634,3.958457392,6.077911361
0.20969163,5.508807991,4.073529068,6.230833836
0.211453744,5.596916905,4.152656535,6.187404349
0.213215859,5.691238259,4.205078716,6.174435838
0.214977974,5.840276583,4.329489271,6.399344071
0.216740088,5.885495937,4.392962039,6.464313122
0.218502203,5.985551534,4.493262958,6.572817772
0.220264317,6.11510885,4.556689405,6.703127676
0.222026432,5.991498573,4.641056336,6.691041061
0.223788546,6.205454668,4.712829288,6.958483224
0.225550661,6.207444505,4.852757325,7.023742492
0.227312775,6.343022046,4.896437421,7.163108157
0.22907489,6.559006015,4.979947981,7.300010292
0.230837004,6.727034124,5.00477245,7.273635767
0.232599119,6.735417519,5.221717268,7.352705177
0.234361233,6.738350472,5.306068494,7.354228055
0.236123348,6.695442787,5.364046244,7.591578643
0.237885463,6.84001667,5.382466312,7.74360297
0.239647577,6.97247571,5.420275517,7.843512199
0.241409692,7.073763413,5.500997156,7.972457462
0.243171806,7.147637879,5.515436048,8.167235133
0.244933921,7.294395904,5.538142746,8.093307355
0.246696035,7.453770647,5.578387769,8.174190265
0.24845815,7.582879153,5.576795871,8.258094171
0.250220264,7.568494675,5.451063979,8.29780239
0.251982379,7.64381282,5.526954799,8.484822357
0.253744493,7.685622248,5.473398692,8.631500714
0.255506608,7.83591695,5.501897375,8.663334987
0.257268722,7.981339153,5.647860386,8.766636505
0.259030837,8.044564086,5.674029224,9.001613703
0.260792952,8.098538608,5.844729318,9.010593806
0.262555066,8.222538235,5.942014237,9.042952145
0.264317181,8.375027445,5.903586548,9.233448696
0.266079295,8.239713635,5.912950704,9.17818374
0.26784141,8.436500119,6.023825005,9.298061046
0.269603524,8.521538206,6.213248004,9.315458794
0.271365639,8.662849751,6.198348104,9.790744691
0.273127753,8.75239717,6.249548318,9.744613589
0.274889868,8.821099007,6.423385736,9.647530518
0.276651982,8.889351814,6.553231775,9.631496009
0.278414097,8.849208619,6.62515784,9.874828354
0.280176211,9.028153474,6.71537044,9.990381528
0.281938326,9.183937443,6.864153512,10.04559666
0.283700441,9.24619479,7.024600208,10.34060447
0.285462555,9.259505392,7.183455695,10.16006284
0.28722467,9.447748919,7.293135696,10.33630659
0.288986784,9.581551228,7.598431767,10.51034632
0.290748899,9.687404709,7.942456766,10.76956563
0.292511013,9.766234744,8.682090615,10.94033968
0.294273128,9.767429892,8.860711017,10.92196542
0.296035242,9.862089778,9.175032434,10.99668478
0.297797357,9.920490366,9.159462621,11.167487
0.299559471,10.15783929,9.28294238,11.15316552
0.301321586,10.1682094,9.44229519,11.25993706
0.3030837,10.32811571,9.65586054,11.42796356
0.304845815,10.47079211,9.680743602,11.67376534
0.30660793,10.38985903,9.727159337,11.68980393
0.308370044,10.586904,9.87439262,11.93438187
0.310132159,10.62463509,10.00864891,11.89933077
0.311894273,10.82231652,10.20318309,11.8631284
0.313656388,10.95625512,10.29823999,12.05181278
0.315418502,11.11243403,10.39268494,12.3215711
0.317180617,11.16435518,10.49504873,12.23921763
0.318942731,11.3561522,10.63829739,12.39629324
0.320704846,11.31154659,10.79851904,12.35760237
0.32246696,11.46472909,10.88354002,12.59244001
0.324229075,11.61688742,10.83117833,12.82563826
0.325991189,11.72738506,11.08662704,12.75875475
0.327753304,11.83360376,11.15689964,12.89293155
0.329515419,11.80742939,11.35062936,12.95555411
0.331277533,12.00614245,11.46839366,13.09639498
0.333039648,12.1146005,11.50704682,13.20527588
0.334801762,12.24169707,11.76003911,13.3690283
0.336563877,12.34198393,11.78765257,13.31846622
0.338325991,12.41627586,11.92614384,13.42732844
0.340088106,12.39996987,12.01617627,13.61637211
0.34185022,12.57272195,12.07988474,13.76537489
0.343612335,12.69454989,12.13959741,13.8762783
0.345374449,12.58596219,12.34561204,14.00145393
0.347136564,12.77211047,12.4166273,13.95095587
0.348898678,13.01918535,12.54431277,14.14489394
0.350660793,13.14313245,12.67260413,14.26688711
0.352422907,13.4063031,12.83326851,14.31432729
0.354185022,13.41431835,12.92291503,14.67101407
0.355947137,13.48908309,13.09723075,14.55029474
0.357709251,13.5948952,13.2294015,14.76883168
0.359471366,13.67155329,13.29795468,14.57313275
0.36123348,13.85931632,13.47034629,15.01387682
0.362995595,13.73606555,13.54829743,15.17480348
0.364757709,14.09965738,13.60698183,15.24925535
0.366519824,14.19731392,13.76943161,15.17404014
0.368281938,14.46855447,13.84731073,15.4118621
0.370044053,14.40243069,14.07989993,15.61648408
0.371806167,14.52789249,14.1959886,15.63975043
0.373568282,14.6724714,14.10501006,15.79316396
0.375330396,14.82864526,14.11653265,15.8859493
0.377092511,14.86281644,14.40904402,16.03067114
0.378854626,15.02579925,14.41658125,16.25424562
0.38061674,15.13990895,14.62076574,16.37032346
0.382378855,15.19290701,14.75343473,16.52236651
0.384140969,15.29144271,14.95294925,16.50640589
0.385903084,15.45536066,15.03686923,16.40111138
0.387665198,15.59886396,15.17274834,16.58159631
0.389427313,15.720111,15.38745827,16.77391678
