Test,Sample1,Sample2,Sample3,theta=90,t1=0.25mm,t2=0.75mm,H=18mm,R=10mm,flow=0.3ml/min
dv (ml),p (kpa),p (kpa),p (kpa),,,,,,
0.016166667,-0.083966654,-0.096909717,-0.153054759,,,,,,
0.016333333,-0.064634017,-0.148812709,-0.112068454,,,,,,
0.0165,-0.148812709,-0.137882948,-0.025810046,,,,,,
0.016666667,-0.139944423,-0.038741278,-0.099126458,,,,,,
0.016833333,-0.122835026,-0.068906725,-0.043120474,,,,,,
0.017,-0.152915701,-0.068906725,0.015132737,,,,,,
0.017166667,-0.122835026,-0.023635713,-0.012898512,,,,,,
0.017333333,-0.096909717,-0.096909717,-0.043120474,,,,,,
0.0175,-0.122835026,-0.077600013,-0.142175272,,,,,,
0.017666667,-0.152915701,-0.148812709,-0.068961011,,,,,,
0.017833333,-0.079726512,-0.120753145,-0.015117482,,,,,,
0.018,-0.04952627,-0.051681112,-0.122913315,,,,,,
0.018166667,-0.094803777,-0.122835026,-0.137991645,,,,,,
0.018333333,-0.178897525,-0.167933308,-0.056034227,,,,,,
0.0185,-0.081848721,-0.094803777,-0.107819746,,,,,,
0.018666667,-0.148812709,-0.124912709,-0.071123466,,,,,,
0.018833333,-0.178897525,-0.038741278,-0.153054759,,,,,,
0.019,-0.133747498,-0.083966654,-0.071123466,,,,,,
0.019166667,-0.137882948,-0.053831608,-0.09699226,,,,,,
0.019333333,-0.094803777,-0.096909717,-0.150972879,,,,,,
0.0195,-0.040903733,-0.122835026,-0.040929761,,,,,,
0.019666667,-0.053831608,-0.122835026,-0.181086009,,,,,,
0.019833333,-0.038741278,-0.176872273,-0.071123466,,,,,,
0.02,-0.176872273,-0.066772527,-0.068961011,,,,,,
0.020166667,-0.066772527,-0.176872273,-0.043120474,,,,,,
0.020333333,-0.176872273,-0.152915701,-0.040929761,,,,,,
0.0205,-0.092693581,-0.092693581,-0.112068454,,,,,,
0.020666667,-0.208921685,-0.161821241,-0.122913315,,,,,,
0.020833333,-0.161821241,-0.066772527,-0.12712945,,,,,,
0.021,-0.150866275,-0.051681112,-0.122913315,,,,,,
0.021166667,-0.221934289,-0.068906725,-0.040929761,,,,,,
0.021333333,-0.137882948,-0.092693581,-0.086197502,,,,,,
0.0215,-0.148812709,-0.122835026,-0.09699226,,,,,,
0.021666667,-0.137882948,-0.068906725,-0.142175272,,,,,,
0.021833333,-0.122835026,-0.206928774,-0.181086009,,,,,,
0.022,-0.111955538,-0.176872273,-0.071123466,,,,,,
0.022166667,-0.161821241,-0.120753145,-0.12712945,,,,,,
0.022333333,-0.152915701,-0.180918693,-0.068961011,,,,,,
0.0225,-0.092693581,-0.038741278,-0.09699226,,,,,,
0.022666667,-0.178897525,-0.109865835,-0.155132442,,,,,,
0.022833333,-0.137882948,-0.139944423,-0.09699226,,,,,,
0.023,-0.051681112,-0.066772527,-0.153054759,,,,,,
0.023166667,-0.105673756,-0.165900062,-0.066794187,,,,,,
0.023333333,-0.206928774,-0.206928774,-0.086197502,,,,,,
0.0235,-0.051681112,-0.081848721,-0.142175272,,,,,,
0.023666667,-0.135817311,-0.096909717,-0.181086009,,,,,,
0.023833333,-0.066772527,-0.19190811,-0.12502351,,,,,,
0.024,-0.150866275,-0.122835026,-0.071123466,,,,,,
0.024166667,-0.234960024,-0.105673756,-0.155132442,,,,,,
0.024333333,-0.096909717,-0.122835026,-0.12502351,,,,,,
0.0245,-0.150866275,-0.150866275,-0.150972879,,,,,,
0.024666667,-0.195922192,-0.066772527,-0.181086009,,,,,,
0.024833333,-0.124912709,-0.152915701,-0.140085568,,,,,,
0.025,-0.111955538,-0.077600013,-0.181086009,,,,,,
0.025166667,-0.165900062,-0.135817311,-0.12712945,,,,,,
