dV/V0,beta1(deg),beta2(deg),beta3(deg)
0.238622222,4.67241659,6.517018534,5.529154548
0.240644444,4.766644523,6.580788809,5.623811436
0.242666667,4.827713368,6.629059585,5.819830371
0.244688889,4.880906941,6.808726444,5.910505942
0.246711111,4.939313141,7.017701718,5.889442854
0.248733333,5.051525751,7.095841886,6.059620892
0.250755556,5.201280282,7.410422604,6.124954142
0.252777778,5.249754646,7.449177748,6.260390521
0.2548,5.309642317,7.66658275,6.374177742
0.256822222,5.36128864,7.825335516,6.520572643
0.258844444,5.521913975,7.93813509,6.660295035
0.260866667,5.642071209,8.079557488,6.585070854
0.262888889,5.677462967,8.188430834,6.83831949
0.264911111,5.812017627,8.365231345,7.129324374
0.266933333,5.853048785,8.52332437,7.225581365
0.268955556,5.988847592,8.654239855,7.436248318
0.270977778,6.090513386,8.794311405,7.52634724
0.273,6.237023909,8.901762258,7.724873512
0.275022222,6.283691653,8.989352035,7.790397412
0.277044444,6.514499337,9.225489748,8.085972077
0.279066667,6.676193018,9.409423613,8.227324012
0.281088889,7.227341961,9.547290316,8.319092173
0.283111111,8.014216179,9.598500535,8.445813491
0.285133333,8.261969787,9.696374929,8.711729979
0.287155556,8.481231072,9.920094979,8.756650168
0.289177778,8.708642902,9.984721401,9.002893796
0.2912,8.751601156,10.18771141,9.015241137
0.293222222,8.967796593,10.2887314,9.192399864
0.295244444,9.037112751,10.46310912,9.28010934
0.297266667,9.118968386,10.58195262,9.485422718
0.299288889,9.395385655,10.71584231,9.499580525
0.301311111,9.556623228,10.87569821,9.664214419
0.303333333,9.591133735,11.00183806,9.850524571
0.305355556,9.817550517,11.16169089,9.974375243
0.307377778,9.966414373,11.25477905,10.06363063
0.3094,10.13890106,11.33941605,10.20337762
0.311422222,10.34850068,11.51667809,10.4905545
0.313444444,10.52754023,11.69365512,10.47656707
0.315466667,10.53536902,11.83678857,10.69470475
0.317488889,10.80398591,11.93023171,10.79003778
0.319511111,10.93757775,12.03968469,10.9810657
0.321533333,11.20724887,12.21436801,11.1129485
0.323555556,11.48418208,12.40328148,11.2304358
0.325577778,11.65176563,12.5044209,11.39681423
0.3276,11.80546894,12.67630566,11.5233877
0.329622222,12.13712997,12.7840741,11.57194578
0.331644444,12.48854651,13.02897981,11.79233817
0.333666667,12.87438716,13.20186334,11.94159784
0.335688889,13.14858225,13.31474929,12.21461544
0.337711111,13.44056251,13.51262622,12.26139213
0.339733333,14.10262941,13.6942681,12.34644837
0.341755556,14.32070198,13.82222775,12.54497941
0.343777778,14.72825381,14.0965684,12.8242597
0.3458,14.76802413,14.28907099,12.82915659
0.347822222,15.06764605,14.40728423,13.08618854
0.349844444,15.22223082,14.59602202,13.14743184
0.351866667,15.37335422,14.82915158,13.42410417
0.353888889,15.72452286,14.90803641,13.52829565
0.355911111,15.86737563,15.10333259,13.74856818
0.357933333,16.09200408,15.30245848,13.80159025
0.359955556,16.23986776,15.4425021,14.0739793
0.361977778,16.41353322,15.686398,14.13190364
0.364,16.60293704,15.88525808,14.35435862
0.366022222,16.70062299,15.99815848,14.57873625
0.368044444,16.94668512,16.20661339,14.65622513
0.370066667,17.04694839,16.19594029,14.86772026
0.372088889,17.39428403,16.57368195,15.07074378
0.374111111,17.6318903,16.62447952,15.21937072
0.376133333,17.80973419,16.80254034,15.36676265
0.378155556,17.83524054,17.00684051,15.51694267
0.380177778,17.98176199,17.14772028,15.67528527
0.3822,18.19591766,17.33877795,15.92573218
0.384222222,18.34937294,17.54875387,16.09365952
0.386244444,18.52713796,17.69120416,16.31855836
0.388266667,18.75073669,17.9166122,16.49325657
0.390288889,19.02554686,18.17056757,16.64771736
0.392311111,19.28309131,18.1351341,16.73615043
0.394333333,19.39088432,18.43943446,16.92527442
0.396355556,19.73410249,18.68172152,17.16868922
0.398377778,19.8614269,18.79571123,17.40157471
0.4004,20.02778421,18.99185867,17.57635876
0.402422222,20.32642363,19.24551953,17.7145633
0.404444444,20.58651606,19.46364952,17.94199704
0.406466667,20.78331571,19.62474232,18.13881879
0.408488889,20.94009549,19.7886122,18.24460032
0.410511111,21.2352533,20.01717009,18.57338264
0.412533333,21.41528676,20.13251383,18.60685501
0.414555556,21.71463362,20.48583501,18.88485871
0.416577778,21.91651643,20.58716319,19.07252092
0.4186,22.08454881,20.76628013,19.23311049
0.420622222,22.35958302,20.85434358,19.4086748
0.422644444,22.42328685,21.258985,19.68634955
0.424666667,22.77688723,21.42362203,19.85790539
0.426688889,22.92053588,21.65963765,20.021387
0.428711111,23.19966443,21.88092602,20.09049061
0.430733333,23.36961506,22.07319555,20.38577731
0.432755556,23.61647354,22.20324434,20.550054
0.434777778,24.02308448,22.48980597,20.74411371
0.4368,24.06628477,22.71333036,20.95630204
0.438822222,24.32583016,22.87442403,21.16710601
0.440844444,24.57090863,23.04926556,21.39920023
0.442866667,24.758115,23.26885521,21.60251964
0.444888889,25.0580707,23.52585715,21.88267901
0.446911111,25.27782198,23.73469783,22.01017424
0.448933333,25.48361523,23.92761425,22.28507785
0.450955556,25.74058081,24.17287767,22.37692957
0.452977778,26.07916147,24.29597145,22.61185796
0.455,26.33899125,24.57731136,22.93397893
0.457022222,26.52682397,24.714545,23.15686311
0.459044444,26.82903612,24.97953223,23.35642688
0.461066667,27.12395888,25.16772484,23.58060254
0.463088889,27.36636405,25.38527051,23.72498685
0.465111111,27.55219979,25.59747683,24.06576304
0.467133333,27.85317088,25.68781409,24.25409698
0.469155556,28.05788186,25.96507111,24.46074755
0.471177778,28.26634955,26.20165256,24.69102382
0.4732,28.55253704,26.44724602,25.07831251
0.475222222,28.75584341,26.64395653,25.15865319
0.477244444,29.02266895,26.86253896,25.34368743
0.479266667,29.29100013,27.06627006,25.64518411
0.481288889,29.54054709,27.22958871,25.82903789
0.483311111,29.89663466,27.54189407,25.99017084
0.485333333,30.03619689,27.65787693,26.20438886
0.487355556,30.20244809,27.86620335,26.44539516
0.489377778,30.58679559,28.27541456,26.59947917
0.4914,30.79895277,28.4039186,26.90206254
0.493422222,31.05601023,28.69702675,27.0558084
0.495444444,31.34868481,28.85716978,27.26694623
0.497466667,31.53012734,29.12492976,27.46994215
0.499488889,31.85009749,29.31207312,27.78315656
0.501511111,32.05200933,29.51848732,27.84802644
0.503533333,32.26393686,29.70425282,28.10777262
0.505555556,32.62602138,29.99847023,28.39986529
0.507577778,32.73781594,30.26530487,28.7289835
0.5096,32.89417136,30.37303161,28.88998555
0.511622222,33.15365624,30.56050095,29.10061499
0.513644444,33.18647918,30.94164321,29.36383274
0.515666667,33.28514592,31.05339546,29.58159945
0.517688889,33.56232751,31.28038998,29.73049008
0.519711111,33.52683606,31.53310031,29.99947361
0.521733333,33.89265383,31.87977719,30.30467721
0.523755556,34.02383692,32.0342015,30.5057106
0.525777778,34.26553805,32.37332455,30.72252488
0.5278,34.36359376,32.5963,30.96893599
0.529822222,34.60300545,32.76612809,31.19589979
0.531844444,34.73845006,32.9409631,31.40201283
0.533866667,34.97079078,33.22346054,31.70479457
0.535888889,35.20248191,33.43334614,31.96421675
0.537911111,35.42870597,33.73600213,32.15294831
0.539933333,35.65865511,33.9422774,32.48277252
0.541955556,35.78963493,34.25824979,32.66820141
0.543977778,36.05568524,34.52515029,32.94202905
0.546,36.25660904,34.76919286,33.24821919
0.548022222,36.44882913,35.07331165,33.40462102
0.550044444,36.79802684,35.21357018,33.63472889
0.552066667,36.94469923,35.56126948,33.96221674
0.554088889,37.11911159,35.91650714,34.28855949
0.556111111,37.44468435,35.98177029,34.45995083
0.558133333,37.68690548,36.49026336,34.7755246
0.560155556,37.9027639,36.67158004,34.9371569
0.562177778,38.14167089,36.9956649,35.17545026
0.5642,38.44881761,37.12188275,35.55327017
0.566222222,38.70206251,37.49357784,35.71077033
0.568244444,38.96273445,37.71009643,36.05998316
0.570266667,39.15186039,37.98698416,36.30296372
0.572288889,39.40507769,38.15866839,36.57596216
0.574311111,39.66753515,38.4608457,36.81963802
0.576333333,39.91854671,38.7002841,37.09459667
0.578355556,40.19218014,39.07507503,37.31516127
0.580377778,40.40187232,39.31893002,37.75206485
0.5824,40.66830538,39.63432063,37.88821191
0.584422222,40.87992408,39.75838189,38.17626637
0.586444444,41.14085817,40.07011348,38.44726697
0.588466667,41.45540586,40.43214738,38.84894461
0.590488889,41.61968111,40.6837706,39.03022708
0.592511111,41.89815965,41.07094658,39.32539274
0.594533333,42.14782023,41.27587604,39.68279653
0.596555556,42.45561411,41.59834801,39.94670393
0.598577778,42.6202519,42.02961816,40.27675129
0.6006,42.88231448,42.222215,40.55205221
0.602622222,43.22832261,42.48841847,40.87522825
0.604644444,43.49528168,42.85857425,41.21506629
0.606666667,43.73943018,43.21721531,41.45165631
0.608688889,44.0148628,43.49458642,41.77222946
0.610711111,44.21479919,43.83963463,42.11412687
0.612733333,44.50045993,44.17365683,42.38471754
0.614755556,44.73148729,44.64480417,42.69478747
0.616777778,44.9745005,44.93221039,43.01334507
0.6188,45.2797254,45.23778409,43.39629486
0.620822222,45.48287158,45.60531278,43.64140298
0.622844444,45.73953052,45.89665722,43.9150043
0.624866667,46.03977645,46.30446749,44.4201653
0.626888889,46.35526603,46.69844291,44.65147286
0.628911111,46.60540262,47.11435448,44.95849275
0.630933333,46.91633068,47.42382844,45.3731611
0.632955556,47.18254202,47.77862682,45.855123
0.634977778,47.39386221,48.2283605,46.0995034
0.637,47.76873402,48.50117827,46.46112547
0.639022222,47.96466744,48.86175006,46.92104451
0.641044444,48.24536336,49.38473109,47.34184635
0.643066667,48.6724977,49.76830734,47.75538685
0.645088889,48.88296727,50.21637629,48.0446235
0.647111111,49.22169955,50.90775588,49.09036771
0.649133333,49.39072159,52.33488373,50.614088
0.651155556,49.74218816,53.00508418,51.27364861
0.653177778,49.92594508,53.59289111,51.74777221
0.6552,50.19019079,53.98637558,52.21568515
0.657222222,50.47666826,54.41318384,52.59288733
0.659244444,50.70413327,54.78786861,53.03952051
0.661266667,50.98450226,55.14703345,53.48334997
0.663288889,51.24027211,55.42420958,53.76798094
0.665311111,51.60106266,55.82988819,54.12780403
0.667333333,51.83550938,56.19400843,54.55337875
0.669355556,52.10281837,56.48406132,54.94680995
0.671377778,52.42019087,57.02088326,55.30280968
0.6734,52.6672117,57.28975458,55.54705701
0.675422222,53.08774455,57.69071289,55.88801298
0.677444444,53.21833009,57.99239365,56.35588895
0.679466667,53.50820374,58.34495518,56.66573741
0.681488889,53.83453804,58.60689943,56.95615301
0.683511111,54.11876344,58.95150514,57.37852044
0.685533333,54.37551444,59.3351876,57.63935268
0.687555556,54.72025256,59.45435751,57.95542045
0.689577778,55.05471101,59.85912318,58.27007074
0.6916,55.23372918,60.10360907,58.53767462
0.693622222,55.5776729,60.37014574,58.94654329
0.695644444,55.76035887,60.64675575,59.25674
0.697666667,56.30201645,60.9753308,59.55390242
0.699688889,56.40096322,61.24735796,59.87410236
0.701711111,56.6526789,61.53188804,60.22751876
0.703733333,57.03828425,61.7174917,60.48600567
0.705755556,57.32347086,62.17189958,60.71322445
0.707777778,57.53474171,62.21965845,61.15681424
0.7098,57.78847641,62.66468668,61.39312094
0.711822222,58.11164693,62.93681159,61.76271535
0.713844444,58.31110299,63.15432023,61.99553197
0.715866667,58.59577775,63.45708629,62.42239645
0.717888889,58.93077774,63.7989002,62.61300888
0.719911111,59.23049399,64.15675054,62.93660206
0.721933333,59.43392312,64.47670899,63.25770615
0.723955556,59.76354894,64.59741491,63.53993612
0.725977778,60.13509442,64.97227719,63.94764768
0.728,60.2538509,65.20958687,64.21100555
0.730022222,60.63516347,65.57478602,64.52977446
0.732044444,60.85660595,65.878661,64.82436793
0.734066667,61.24388179,66.18894999,65.11455056
0.736088889,61.48269158,66.35282477,65.30935057
0.738111111,61.83379162,66.67846843,65.76547477
0.740133333,62.06595583,66.9697397,65.95876509
0.742155556,62.40264216,67.30771714,66.44425017
0.744177778,62.77989171,67.62983888,66.65652473
0.7462,63.02721736,67.89712978,66.85946337
0.748222222,63.31358125,68.1701642,67.10196271
0.750244444,63.68138844,68.36006673,67.451348
0.752266667,64.09977315,68.79083299,67.76969835
0.754288889,64.23577326,69.03257068,67.98429194
0.756311111,64.57612974,69.35948115,68.25432063
0.758333333,64.97438428,69.62271349,68.63001601
0.760355556,65.08060766,69.93581827,68.96877326
0.762377778,65.53675046,70.1364782,69.08948838
0.7644,65.73531066,70.46548175,69.51629987
0.766422222,66.08135114,70.75329973,69.70418446
0.768444444,66.38504422,71.00518662,70.08988513
0.770466667,66.64280928,71.26870329,70.47637558
0.772488889,66.94828226,71.58207203,70.67850724
0.774511111,67.20906434,71.84139223,71.01844581
0.776533333,67.52027394,72.11506042,71.38267439
0.778555556,67.80673824,72.37701287,71.6247184
0.780577778,68.05150706,72.72056425,71.99433285
0.7826,68.27928712,72.98760053,72.25577898
0.784622222,68.58749218,73.42772274,72.59885728
0.786644444,68.96033581,73.79112912,72.99643448
0.788666667,69.22553872,73.9741775,73.1061324
0.790688889,69.47999938,74.21074142,73.58654433
0.792711111,69.70580458,74.54023954,74.02242278
0.794733333,70.00534017,74.88355318,74.1320801
0.796755556,70.34600631,75.0661428,74.41636505
0.798777778,70.60679939,75.31389384,74.76025012
0.8008,70.90155008,75.80053854,75.08497701
0.802822222,71.10427146,76.07668603,75.2743708
0.804844444,71.45102351,76.36160611,75.70343054
0.806866667,71.65753917,76.73339431,76.00303969
0.808888889,71.95805517,76.92513402,76.22852431
0.810911111,72.16131619,77.20302972,76.55764776
0.812933333,72.46223906,77.56543602,76.91367533
0.814955556,72.79149646,77.73955417,77.2364699
0.816977778,72.99503996,78.13637214,77.53204749
0.819,73.27196125,78.41105186,77.73849541
0.821022222,73.37592882,78.75618649,77.99942777
0.823044444,73.74267346,78.98828544,78.3812661
0.825066667,73.85800867,79.33214752,78.74684457
0.827088889,74.12303315,79.68769949,78.98544567
0.829111111,74.40692102,79.91496019,79.35819387
0.831133333,74.53485372,80.17122603,79.59727336
0.833155556,74.75914699,80.48791641,79.94278817
0.835177778,74.96798377,80.7439958,80.41327541
0.8372,75.21832818,81.141636,80.53971582
0.839222222,75.43296039,81.34056492,80.9766689
0.841244444,75.63523349,81.70257148,81.24257874
0.843266667,75.75639158,82.0061174,81.64574132
0.845288889,76.05309667,82.2373599,81.95324873
0.847311111,76.23511297,82.68590373,82.3674028
0.849333333,76.43161871,82.92134472,82.60802187
0.851355556,76.65528243,83.33186719,83.09870799
0.853377778,76.82236205,83.63006972,83.35670649
0.8554,77.01332033,83.92888049,83.63962688
0.857422222,77.32937818,84.30239916,84.02834665
0.859444444,77.36892036,84.63138273,84.41221425
0.861466667,77.73513768,84.89236049,84.70064788
0.863488889,77.87885165,85.296821,85.09556168
0.865511111,78.13441271,85.72379754,85.43307963
0.867533333,78.31752584,85.96508063,85.66917297
0.869555556,78.5217773,86.43359438,86.12901934
0.871577778,78.75674627,86.66355241,86.49519345
0.8736,78.9403643,86.9351449,86.82169587
0.875622222,79.15170824,87.46699981,87.2747599
0.877644444,79.35465427,87.78032923,87.56613016
0.879666667,79.47133923,88.02502947,87.93352846
0.881688889,79.64043702,88.35100666,88.26043039
0.883711111,79.83127529,88.77780938,88.55872252
0.885733333,80.10490171,89.0901594,89.02984684
0.887755556,80.26927711,89.59707039,89.36131684
0.889777778,80.38590848,89.98854633,89.73400045
0.8918,80.6243371,89.61804785,89.99457205
0.893822222,80.77744386,89.38948244,89.72187173
0.895844444,80.9454942,89.04931164,89.33708227
0.897866667,81.07335217,88.69698345,89.01531516
0.899888889,81.4072087,88.42003603,88.67287079
0.901911111,81.49229147,88.06175233,88.57343211
0.903933333,81.69789561,87.844356,88.21111507
0.905955556,81.82956242,87.76949455,88.05775563
0.907977778,81.97695242,87.408072,87.89613972
