dv (ml),p1 (kpa),p2 (kpa),p3(kpa)
1.475555556,-1.237891049,-1.110716681,-1.044633954
1.48,-0.912992525,-1.045095958,-0.91207825
1.484444444,-0.521299554,-1.110716681,-0.458958048
1.488888889,-1.042599108,-0.850066903,-1.044633954
1.493333333,-1.10697742,-1.044178014,-0.653659289
1.497777778,-0.978415197,-1.305877178,-1.045614748
1.502222222,-0.845932916,-0.850066903,-1.045614748
1.506666667,-0.976455168,-1.241759875,-1.175808392
1.511111111,-1.042599108,-1.241759875,-0.59065598
1.515555556,-0.91227422,-1.241041569,-1.10933812
1.52,-1.042599108,-1.241041569,-0.718166291
1.524444444,-0.652605237,-0.850066903,-1.10933812
1.528888889,-1.172923997,-1.370778212,-1.306002037
1.533333333,-1.172923997,-0.850066903,-1.043651181
1.537777778,-0.912992525,-1.109865416,-0.977897924
1.542222222,-1.04318617,-0.916798182,-1.10933812
1.546666667,-0.521299554,-1.241041569,-1.174958843
1.551111111,-0.91227422,-1.046926303,-0.97894751
1.555555556,-1.042010862,-0.850066903,-0.5233344
1.56,-1.237499672,-1.371953519,-1.175808392
1.564444444,-1.172923997,-0.980391792,-0.783984177
1.568888889,-0.651624443,-1.110716681,-0.915421104
1.573333333,-1.303248886,-1.241041569,-0.847375673
1.577777778,-0.584888413,-1.110716681,-1.044633954
1.582222222,-0.521299554,-1.697049008,-0.783984177
1.586666667,-0.847503937,-1.110716681,-0.783984177
1.591111111,-0.585937999,-1.241041569,-0.914309066
1.595555556,-0.91227422,-1.632016235,-1.306002037
1.6,-0.782798881,-1.632016235,-1.241296587
1.604444444,-0.651624443,-1.502147163,-1.304563976
1.608888889,-1.172923997,-1.632016235,-0.981040344
1.613333333,-1.10697742,-1.241041569,-1.43560862
1.617777778,-0.845932916,-1.501691346,-1.044633954
1.622222222,-0.651624443,-1.241041569,-1.565933508
1.626666667,-0.521299554,-1.501691346,-1.436195681
1.631111111,-0.91227422,-1.241041569,-1.370772682
1.635555556,-0.651624443,-1.044178014,-0.915421104
1.64,-0.91227422,-0.785493586,-1.175808392
1.644444444,-1.04318617,-1.305877178,-0.848556901
1.648888889,-0.651624443,-1.241759875,-1.044633954
1.653333333,-0.91227422,-1.11156623,-0.914309066
1.657777778,-0.718158954,-1.371366458,-1.43560862
1.662222222,-1.108543318,-1.435744769,-1.891553686
1.666666667,-0.912992525,-1.371366458,-1.174958843
1.671111111,-0.847503937,-1.501691346,-1.043651181
1.675555556,-0.651624443,-1.371366458,-0.91207825
1.68,-0.718158954,-1.044178014,-0.914309066
1.684444444,-0.976455168,-1.307182546,-1.43560862
1.688888889,-1.042599108,-1.11156623,-0.653659289
1.693333333,-1.433573774,-1.502147163,-0.91207825
1.697777778,-1.172923997,-1.566267021,-1.238942428
1.702222222,-1.107500439,-0.850066903,-1.305283731
1.706666667,-1.042599108,-1.046926303,-0.914309066
1.711111111,-1.04318617,-1.501691346,-1.174958843
1.715555556,-0.91227422,-1.371366458,-1.175808392
1.72,-0.651624443,-1.044178014,-1.304563976
1.724444444,-0.912992525,-1.371953519,-0.915421104
1.728888889,-0.716328609,-1.241041569,-1.238942428
1.733333333,-0.91227422,-0.981372586,-0.977897924
1.737777778,-1.042599108,-1.241041569,-1.174107579
1.742222222,-1.042599108,-1.566658398,-1.306002037
1.746666667,-1.108543318,-1.241041569,-1.306002037
1.751111111,-0.781949331,-1.567048986,-1.175808392
1.755555556,-0.91227422,-1.044178014,-0.914309066
1.76,-1.172923997,-1.501691346,-1.238942428
1.764444444,-0.976455168,-1.305877178,-1.371424708
1.768888889,-1.108543318,-1.046926303,-1.044633954
1.773333333,-0.781098067,-1.435744769,-0.914309066
1.777777778,-1.042599108,-1.241759875,-1.175808392
1.782222222,-1.173379814,-1.501234609,-1.37011934
1.786666667,-1.303248886,-1.501234609,-1.436195681
1.791111111,-0.977109829,-1.110716681,-1.63090056
1.795555556,-1.303248886,-1.632340808,-1.305283731
1.8,-1.302923658,-1.632016235,-1.630509183
1.804444444,-1.172923997,-1.371366458,-1.043651181
1.808888889,-1.173379814,-1.177054424,-1.565933508
1.813333333,-0.912992525,-1.239600605,-1.043651181
1.817777778,-1.172923997,-1.437310667,-1.045614748
1.822222222,-1.04318617,-1.371366458,-0.914309066
1.826666667,-1.433573774,-1.436267788,-1.241296587
1.831111111,-0.651624443,-1.632016235,-1.175808392
1.835555556,-0.781098067,-1.174700266,-1.371424708
1.84,-1.17246726,-1.697049008,-1.174958843
1.844444444,-1.237499672,-1.307182546,-1.499986931
1.848888889,-0.651624443,-1.632340808,-0.719476515
1.853333333,-1.368021923,-1.696789273,-1.436195681
1.857777778,-1.303573458,-1.502147163,-1.174958843
1.862222222,-1.042599108,-1.240321814,-1.63090056
1.866666667,-1.172923997,-1.371366458,-1.043651181
1.871111111,-1.108543318,-1.501691346,-1.565933508
1.875555556,-1.042599108,-0.980391792,-1.371424708
1.88,-1.303248886,-1.305877178,-1.174958843
1.884444444,-1.237499672,-1.045095958,-1.371424708
1.888888889,-0.651624443,-1.371366458,-1.045614748
1.893333333,-0.976455168,-0.979409019,-1.174958843
1.897777778,-1.04318617,-1.11156623,-1.306002037
1.902222222,-1.172923997,-1.436789753,-1.36946468
1.906666667,-1.042599108,-1.109865416,-1.370772682
1.911111111,-1.303248886,-1.110716681,-1.306002037
1.915555556,-0.978415197,-1.632340808,-1.306002037
1.92,-1.238671439,-1.371366458,-1.436195681
1.924444444,-0.91227422,-1.632340808,-0.914309066
1.928888889,-1.563836453,-1.241759875,-1.436195681
1.933333333,-1.04318617,-1.436789753,-1.174958843
1.937777778,-1.172923997,-1.762341123,-1.501031915
1.942222222,-1.042599108,-1.241759875,-1.108420176
1.946666667,-1.238281637,-1.501691346,-0.914309066
1.951111111,-1.433573774,-1.437310667,-1.044633954
1.955555556,-1.433380055,-1.241759875,-1.36946468
1.96,-1.172923997,-1.241041569,-1.36946468
1.964444444,-1.172923997,-1.045095958,-1.499986931
1.968888889,-1.17246726,-0.980391792,-1.108420176
1.973333333,-1.10697742,-1.435744769,-1.240513448
1.977777778,-1.173379814,-1.502147163,-1.305283731
1.982222222,-0.91227422,-1.632016235,-1.175808392
1.986666667,-1.172923997,-1.109865416,-1.043651181
1.991111111,-1.303573458,-1.566267021,-1.175808392
1.995555556,-1.238671439,-1.631691007,-1.436195681
2,-1.563960747,-1.371366458,-1.174958843
2.004444444,-1.238281637,-1.370778212,-1.565933508
2.008888889,-1.368799561,-1.501691346,-1.108420176
2.013333333,-1.563898663,-1.435744769,-1.370772682
2.017777778,-0.912992525,-1.241041569,-1.240513448
2.022222222,-1.563960747,-1.241041569,-1.110254215
2.026666667,-1.368799561,-1.631691007,-1.175808392
2.031111111,-1.172923997,-1.762341123,-1.43560862
2.035555556,-1.563898663,-1.436789753,-1.044633954
2.04,-1.042599108,-1.501691346,-1.499986931
2.044444444,-1.108543318,-1.761953294,-1.436195681
2.048888889,-1.433573774,-1.241041569,-1.501031915
2.053333333,-1.629066427,-1.436789753,-1.306002037
2.057777778,-1.303248886,-1.566267021,-1.566389326
2.062222222,-1.108022404,-1.632016235,-1.238942428
2.066666667,-1.042599108,-1.632016235,-1.499986931
2.071111111,-1.042599108,-1.762147405,-1.240513448
2.075555556,-1.433380055,-1.502147163,-1.436195681
2.08,-1.237499672,-1.632016235,-0.914309066
2.084444444,-0.847503937,-1.436789753,-1.37011934
2.088888889,-1.433573774,-1.436789753,-1.43560862
2.093333333,-1.172923997,-1.371366458,-1.111168465
2.097777778,-1.042599108,-1.501691346,-1.371424708
2.102222222,-1.303248886,-1.110716681,-1.306002037
2.106666667,-1.563960747,-1.436789753,-1.371424708
2.111111111,-1.303248886,-1.241041569,-1.175808392
2.115555556,-1.108543318,-1.501691346,-1.371424708
2.12,-1.303248886,-2.0229909,-1.306002037
2.124444444,-1.042599108,-1.631365122,-1.43560862
2.128888889,-1.368021923,-1.370778212,-1.044633954
2.133333333,-1.302597773,-1.435744769,-1.238942428
2.137777778,-1.237891049,-1.566658398,-1.305283731
2.142222222,-1.563960747,-2.0229909,-1.436195681
2.146666667,-1.042599108,-1.632016235,-1.436195681
2.151111111,-1.172923997,-1.371366458,-1.175808392
2.155555556,-1.238671439,-1.632016235,-1.044633954
2.16,-1.433573774,-1.501691346,-1.37011934
2.164444444,-1.172923997,-1.632016235,-1.43560862
2.168888889,-1.368799561,-1.502147163,-1.565933508
2.173333333,-0.978415197,-1.697049008,-1.045614748
2.177777778,-1.563960747,-1.696789273,-0.981040344
2.182222222,-1.563836453,-1.501691346,-1.044633954
2.186666667,-1.302923658,-1.827311524,-1.566389326
2.191111111,-1.694223551,-1.762147405,-1.565933508
2.195555556,-1.498927682,-1.632016235,-1.436195681
2.2,-1.238671439,-1.827439618,-1.565476771
2.204444444,-1.694223551,-1.762147405,-1.43560862
2.208888889,-1.303248886,-1.892728096,-1.370772682
2.213333333,-1.173379814,-2.0229909,-1.305283731
2.217777778,-1.303248886,-1.371366458,-1.630509183
2.222222222,-1.82454844,-2.0229909,-1.43560862
2.226666667,-1.172923997,-1.69730822,-1.43560862
2.231111111,-1.042599108,-1.371366458,-1.044633954
2.235555556,-1.303248886,-1.762341123,-1.43560862
2.24,-1.954873328,-1.696789273,-1.175808392
2.244444444,-1.36854087,-1.632016235,-1.371424708
2.248888889,-1.173379814,-1.501234609,-1.36946468
2.253333333,-1.629062878,-1.241041569,-1.175808392
2.257777778,-1.759453488,-1.502147163,-1.565933508
2.262222222,-1.303248886,-1.371366458,-1.044633954
2.266666667,-1.759588679,-1.762534452,-1.565476771
2.271111111,-1.107500439,-1.241041569,-1.23972873
2.275555556,-1.498927682,-1.436267788,-1.174958843
2.28,-1.433573774,-1.632016235,-1.370772682
2.284444444,-1.237891049,-1.371366458,-1.565933508
2.288888889,-1.368021923,-1.892728096,-1.50050995
2.293333333,-1.172923997,-1.501691346,-1.630509183
2.297777778,-1.694292851,-1.501691346,-1.501552829
2.302222222,-1.498927682,-1.892728096,-1.370772682
2.306666667,-1.82454844,-1.632016235,-1.304563976
2.311111111,-1.824950462,-2.0229909,-1.23972873
2.315555556,-1.433573774,-1.762341123,-1.43560862
2.32,-1.82454844,-2.0229909,-1.566389326
