test,sample1,sample1,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm,flow=0.6ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.025,0.087641647,-0.080935214,0.044634899,-0.099008677,-0.082231684,,,,
0.025333333,-0.026266157,0.042867134,-0.080754563,-0.069178692,-0.154869576,,,,
0.025666667,-0.054283271,-0.041226614,-0.01315382,-0.17162983,-0.182872568,,,,
0.026,-0.009645759,-0.125320362,-0.028002992,-0.044769544,-0.136621132,,,,
0.026333333,0,-0.013195365,-0.098814972,-0.127039926,-0.194413283,,,,
0.026666667,0.041088032,0.001641348,0,-0.100775528,-0.110277084,,,,
0.027,0,-0.112068454,-0.108814127,-0.181416948,-0.22084236,,,,
0.027333333,0.085802297,0.057732147,0,-0.127039926,-0.080473646,,,,
0.027666667,0.018413805,-0.056034227,-0.112011968,-0.070977427,-0.209249995,,,,
0.028,0.018413805,-0.082494851,-0.093975776,-0.127039926,-0.235680711,,,,
0.028333333,0.098885509,-0.041226614,-0.108814127,-0.197952445,-0.136621132,,,,
0.028666667,0.055977769,-0.041226614,-0.108814127,-0.028010414,-0.168037517,,,,
0.029,-0.026266157,-0.00163804,-0.082383412,-0.100775528,-0.22084236,,,,
0.029333333,0.087641647,-0.097289113,-0.039501299,-0.100775528,-0.125156247,,,,
0.029666667,0.070882517,0.014835885,-0.112011968,-0.12877852,-0.154869576,,,,
0.03,0.018413805,-0.041226614,-0.026320913,-0.12877852,-0.164694874,,,,
0.030333333,-0.069132443,-0.125320362,-0.122049519,-0.212787496,-0.164694874,,,,
0.030666667,0.02976807,0.013182063,-0.080754563,-0.155071175,-0.250504082,,,,
0.031,-0.024539951,-0.041226614,-0.110414661,-0.239164924,-0.238878552,,,,
0.031333333,0.074532933,-0.126832897,-0.14001496,-0.155071175,-0.266881544,,,,
0.031666667,0.014876533,-0.011566517,-0.110414661,-0.17162983,-0.196054631,,,,
0.032,-0.024539951,0,-0.039501299,-0.153357384,-0.179561583,,,,
0.032333333,-0.014861551,-0.070826913,-0.082383412,-0.183102425,-0.238878552,,,,
0.032666667,-0.014861551,-0.125320362,-0.150123261,-0.237536075,-0.293343744,,,,
0.033,0.003505448,-0.041226614,-0.095592098,-0.239164924,-0.179561583,,,,
0.033333333,0,0,-0.0114559,-0.156781512,-0.168037517,,,,
0.033666667,0.01311324,-0.011566517,-0.054352162,-0.212787496,-0.222458682,,,,
0.034,0.055977769,-0.056034227,-0.138445911,-0.153357384,-0.153187496,,,,
0.034333333,0.018413805,-0.125320362,-0.164933255,-0.282003786,-0.237281245,,,,
0.034666667,0.074532933,-0.041226614,-0.194508409,-0.225969559,-0.192768617,,,,
0.035,0.087641647,-0.03962608,-0.136873691,-0.17162983,-0.222458682,,,,
0.035333333,0.046473369,-0.123804772,-0.153239388,-0.194609803,-0.222458682,,,,
0.035666667,0.044674634,-0.095745208,-0.182781626,-0.255596484,-0.21087556,,,,
0.036,-0.014861551,-0.125320362,-0.082383412,-0.183102425,-0.306594881,,,,
0.036333333,0.014876533,-0.054449451,-0.138445911,-0.265595639,-0.265312494,,,,
0.036666667,-0.026266157,-0.069257864,-0.222539659,-0.141918218,-0.168037517,,,,
0.037,-0.024539951,0.001641348,-0.14001496,-0.183102425,-0.192768617,,,,
0.037333333,0.074532933,-0.03802231,-0.194508409,-0.153357384,-0.192768617,,,,
0.037666667,0.087641647,0.029686748,-0.09720516,-0.156781512,-0.294884536,,,,
0.038,0.046473369,-0.153351612,-0.082383412,-0.209476512,-0.138322483,,,,
0.038333333,0.041088032,-0.069257864,-0.136873691,-0.211133674,-0.276989845,,,,
0.038666667,-0.026266157,-0.070826913,-0.178197004,-0.197952445,-0.265312494,,,,
0.039,0.102592497,-0.041226614,-0.196020944,-0.240790488,-0.237281245,,,,
0.039333333,-0.014861551,-0.109008957,-0.168017952,-0.265595639,-0.182872568,,,,
0.039666667,-0.054283271,-0.069257864,-0.224023936,-0.295227423,-0.192768617,,,,
0.04,0.085802297,-0.042823921,-0.14001496,-0.184784504,-0.306594881,,,,
0.040333333,0.070882517,-0.069257864,-0.207773697,-0.209476512,-0.294884536,,,,
0.040666667,0.018413805,-0.082494851,-0.206270747,-0.209476512,-0.305063588,,,,
0.041,0.055977769,-0.013195365,-0.082383412,-0.211133674,-0.250504082,,,,
0.041333333,0.01311324,-0.109008957,-0.181256501,-0.265595639,-0.22084236,,,,
0.041666667,-0.024539951,-0.098829905,-0.16647716,-0.295227423,-0.250504082,,,,
0.042,0.113819411,-0.123804772,-0.14001496,-0.239164924,-0.321374993,,,,
0.042333333,0.085802297,-0.070826913,-0.110414661,-0.155071175,-0.278549481,,,,
0.042666667,-0.054283271,-0.041226614,-0.16647716,-0.293655203,-0.250504082,,,,
0.043,-0.014861551,-0.070826913,-0.14001496,-0.26879348,-0.294884536,,,,
0.043333333,0.055977769,-0.041226614,-0.16647716,-0.323258672,-0.293343744,,,,
0.043666667,0.014876533,-0.109008957,-0.206270747,-0.323258672,-0.235680711,,,,
0.044,0.041088032,-0.126832897,-0.138445911,-0.323258672,-0.238878552,,,,
0.044333333,0,-0.1370827,-0.194508409,-0.239164924,-0.252088858,,,,
0.044666667,-0.024539951,-0.154835889,-0.164933255,-0.212787496,-0.349406242,,,,
0.045,-0.042836343,-0.154835889,-0.179728297,-0.26879348,-0.294884536,,,,
0.045333333,0.014876533,-0.070826913,-0.136873691,-0.323258672,-0.222458682,,,,
0.045666667,0.001750956,-0.125320362,-0.14001496,-0.194609803,-0.278549481,,,,
0.046,0.001750956,0.003286014,-0.14001496,-0.306904773,-0.306594881,,,,
0.046333333,-0.027988885,-0.082494851,-0.150123261,-0.278831031,-0.349406242,,,,
0.046666667,0.085802297,-0.041226614,-0.182781626,-0.237536075,-0.308123085,,,,
0.047,-0.069132443,-0.125320362,-0.224023936,-0.323258672,-0.349406242,,,,
0.047333333,0.001750956,-0.181382861,-0.207773697,-0.209476512,-0.308123085,,,,
0.047666667,-0.070811134,-0.196119795,-0.252026928,-0.323258672,-0.33313733,,,,
0.048,0.046473369,-0.151864336,-0.138445911,-0.267196173,-0.263740275,,,,
0.048333333,0.074532933,-0.125320362,-0.196020944,-0.311574253,-0.308123085,,,,
0.048666667,-0.027988885,-0.098829905,-0.150123261,-0.225969559,-0.263740275,,,,
0.049,-0.070811134,-0.098829905,-0.194508409,-0.3100209,-0.33313733,,,,
0.049333333,-0.082300384,-0.166631049,-0.194508409,-0.324799464,-0.266881544,,,,
0.049666667,0.041088032,-0.125320362,-0.138445911,-0.240790488,-0.293343744,,,,
0.05,0.001750956,-0.125320362,-0.207773697,-0.351289921,-0.322887527,,,,
0.050333333,-0.027988885,-0.125320362,-0.178197004,-0.267196173,-0.321374993,,,,
0.050666667,0.016643384,-0.084051341,-0.16647716,-0.265595639,-0.321374993,,,,
0.051,0.001750956,-0.166631049,-0.222539659,-0.267196173,-0.276989845,,,,
0.051333333,0.070882517,-0.125320362,-0.222539659,-0.211133674,-0.33313733,,,,
0.051666667,0.041088032,-0.080935214,-0.207773697,-0.26879348,-0.390731079,,,,
0.052,0.130652061,-0.084051341,-0.196020944,-0.240790488,-0.350890519,,,,
0.052333333,-0.037705323,-0.151864336,-0.262418232,-0.267196173,-0.266881544,,,,
0.052666667,0.046473369,-0.165156442,-0.178197004,-0.321714767,-0.294884536,,,,
0.053,-0.014861551,-0.052861472,-0.138445911,-0.255596484,-0.294884536,,,,
0.053333333,-0.037705323,-0.165156442,-0.16647716,-0.379321171,-0.250504082,,,,
0.053666667,-0.042836343,-0.151864336,-0.178197004,-0.239164924,-0.250504082,,,,
0.054,0.001750956,-0.112068454,-0.235819096,-0.265595639,-0.377437492,,,,
0.054333333,-0.070811134,-0.125320362,-0.222539659,-0.351289921,-0.349406242,,,,
0.054666667,-0.026266157,-0.126832897,-0.16647716,-0.3100209,-0.276989845,,,,
0.055,-0.027988885,-0.182838881,-0.196020944,-0.3100209,-0.306594881,,,,
0.055333333,0.018413805,-0.123804772,-0.306633407,-0.267196173,-0.377437492,,,,
0.055666667,0.01311324,-0.082494851,-0.207773697,-0.323258672,-0.294884536,,,,
0.056,-0.052585351,-0.165156442,-0.265307842,-0.352802456,-0.350890519,,,,
0.056333333,-0.069132443,-0.153351612,-0.28002992,-0.323258672,-0.294884536,,,,
0.056666667,-0.024539951,-0.181382861,-0.250570908,-0.349774331,-0.291799839,,,,
0.057,-0.024539951,-0.126832897,-0.306633407,-0.296796472,-0.265312494,,,,
0.057333333,-0.098785926,-0.154835889,-0.250570908,-0.323258672,-0.389284816,,,,
0.057666667,-0.027988885,-0.153351612,-0.250570908,-0.349774331,-0.36268568,,,,
0.058,-0.024539951,-0.23744536,-0.164933255,-0.278831031,-0.418776479,,,,
0.058333333,-0.111955538,-0.196119795,-0.179728297,-0.293655203,-0.276989845,,,,
0.058666667,-0.055977769,-0.125320362,-0.206270747,-0.40735242,-0.389284816,,,,
0.059,-0.181144411,-0.221303928,-0.294737164,-0.253986672,-0.276989845,,,,
0.059333333,-0.082300384,-0.154835889,-0.306633407,-0.367552022,-0.347918967,,,,
0.059666667,-0.097135435,-0.125320362,-0.224023936,-0.278831031,-0.390731079,,,,
0.06,-0.082300384,-0.166631049,-0.179728297,-0.40735242,-0.36268568,,,,
0.060333333,-0.026266157,-0.210841873,-0.221052383,-0.395540907,-0.322887527,,,,
0.060666667,-0.110317498,-0.11054025,-0.206270747,-0.352802456,-0.389284816,,,,
0.061,-0.054283271,-0.210841873,-0.221052383,-0.377833895,-0.378893511,,,,
0.061333333,-0.08063075,-0.207983464,-0.209273615,-0.306904773,-0.33464028,,,,
0.061666667,-0.054283271,-0.151864336,-0.349359183,-0.351289921,-0.378893511,,,,
0.062,-0.13672155,-0.166631049,-0.194508409,-0.324799464,-0.417358558,,,,
0.062333333,-0.125138427,-0.125320362,-0.278602158,-0.351289921,-0.350890519,,,,
0.062666667,-0.149943578,-0.209414111,-0.306633407,-0.267196173,-0.46153124,,,,
0.063,-0.125138427,-0.23744536,-0.224023936,-0.306904773,-0.36268568,,,,
0.063333333,-0.10867615,-0.23744536,-0.224023936,-0.380805448,-0.318340748,,,,
0.063666667,-0.126760717,-0.125320362,-0.290491975,-0.306904773,-0.406896503,,,,
0.064,-0.1827103,-0.181382861,-0.263864496,-0.351289921,-0.350890519,,,,
0.064333333,-0.210685092,-0.26547661,-0.263864496,-0.3100209,-0.33464028,,,,
0.064666667,-0.138334612,-0.253538002,-0.322726049,-0.306904773,-0.406896503,,,,
0.065,-0.121884015,-0.209414111,-0.209273615,-0.282003786,-0.406896503,,,,
0.065333333,-0.082300384,-0.166631049,-0.362695906,-0.405893459,-0.390731079,,,,
0.065666667,-0.194368839,-0.168102681,-0.290491975,-0.351289921,-0.404038095,,,,
0.066,-0.166351725,-0.153351612,-0.308032912,-0.40880844,-0.406896503,,,,
0.066333333,-0.209147403,-0.182838881,-0.322726049,-0.324799464,-0.406896503,,,,
0.066666667,-0.194368839,-0.266847857,-0.250570908,-0.39407224,-0.321374993,,,,
0.067,-0.121884015,-0.165156442,-0.278602158,-0.324799464,-0.377437492,,,,
0.067333333,-0.220857748,-0.151864336,-0.306633407,-0.391126001,-0.321374993,,,,
0.067666667,-0.194368839,-0.209414111,-0.333290639,-0.306904773,-0.417358558,,,,
0.068,-0.223911077,-0.252154022,-0.249111947,-0.405893459,-0.321374993,,,,
0.068333333,-0.181144411,-0.23744536,-0.336035904,-0.324799464,-0.432097659,,,,
0.068666667,-0.167933308,-0.209414111,-0.250570908,-0.379321171,-0.474867278,,,,
0.069,-0.153141419,-0.264102592,-0.319955295,-0.463414919,-0.445432301,,,,
0.069333333,-0.210685092,-0.264102592,-0.348000694,-0.379321171,-0.306594881,,,,
0.069666667,-0.138334612,-0.221303928,-0.293324955,-0.478123581,-0.489562489,,,,
0.07,-0.238659883,-0.26547661,-0.336035904,-0.43538367,-0.405468741,,,,
0.070333333,-0.219326455,-0.194676449,-0.263864496,-0.379321171,-0.462902487,,,,
0.070666667,-0.278420179,-0.293507859,-0.308032912,-0.433953023,-0.489562489,,,,
0.071,-0.222385952,-0.23744536,-0.252026928,-0.324799464,-0.417358558,,,,
0.071333333,-0.250403066,-0.23744536,-0.234344489,-0.379321171,-0.350890519,,,,
0.071666667,-0.222385952,-0.277451413,-0.28002992,-0.423529792,-0.377437492,,,,
0.072,-0.210685092,-0.306858047,-0.278602158,-0.463414919,-0.405468741,,,,
0.072333333,-0.266634675,-0.26547661,-0.291909895,-0.351289921,-0.361211073,,,,
0.072666667,-0.178003142,-0.266847857,-0.291909895,-0.433953023,-0.406896503,,,,
0.073,-0.153141419,-0.182838881,-0.376046094,-0.364555209,-0.349406242,,,,
0.073333333,-0.220857748,-0.321539108,-0.290491975,-0.463414919,-0.418776479,,,,
0.073666667,-0.192812349,-0.210841873,-0.234344489,-0.451518676,-0.417358558,,,,
0.074,-0.206062706,-0.210841873,-0.336035904,-0.380805448,-0.321374993,,,,
0.074333333,-0.250403066,-0.166631049,-0.333290639,-0.395540907,-0.462902487,,,,
0.074666667,-0.195922192,-0.181382861,-0.306633407,-0.491446168,-0.418776479,,,,
0.075,-0.279888846,-0.153351612,-0.321342069,-0.436811432,-0.418776479,,,,
0.075333333,-0.279888846,-0.266847857,-0.336035904,-0.40735242,-0.462902487,,,,
0.075666667,-0.206062706,-0.266847857,-0.252026928,-0.363052259,-0.502912677,,,,
0.076,-0.306437293,-0.266847857,-0.306633407,-0.479507561,-0.378893511,,,,
0.076333333,-0.294609466,-0.250767248,-0.278602158,-0.40880844,-0.405468741,,,,
0.076666667,-0.265153387,-0.207983464,-0.348000694,-0.462012587,-0.33464028,,,,
0.077,-0.250403066,-0.264102592,-0.334664656,-0.363052259,-0.389284816,,,,
0.077333333,-0.220857748,-0.24937767,-0.290491975,-0.39407224,-0.406896503,,,,
0.077666667,-0.195922192,-0.26547661,-0.278602158,-0.423529792,-0.377437492,,,,
0.078,-0.250403066,-0.250767248,-0.336035904,-0.351289921,-0.474867278,,,,
0.078333333,-0.250403066,-0.182838881,-0.321342069,-0.405893459,-0.474867278,,,,
0.078666667,-0.209147403,-0.210841873,-0.390727155,-0.366055127,-0.473506044,,,,
0.079,-0.251899962,-0.181382861,-0.291909895,-0.40880844,-0.445432301,,,,
0.079333333,-0.23412227,-0.238844865,-0.305231075,-0.40880844,-0.474867278,,,,
0.079666667,-0.251899962,-0.280171136,-0.306633407,-0.420646008,-0.361211073,,,,
0.08,-0.290241398,-0.23744536,-0.364038896,-0.43538367,-0.488216786,,,,
0.080333333,-0.237150395,-0.26547661,-0.291909895,-0.463414919,-0.462902487,,,,
0.080666667,-0.248903148,-0.24937767,-0.291909895,-0.462012587,-0.389284816,,,,
0.081,-0.26366911,-0.349570358,-0.250570908,-0.491446168,-0.46153124,,,,
0.081333333,-0.248903148,-0.309515771,-0.319955295,-0.463414919,-0.517593739,,,,
0.081666667,-0.293156379,-0.281526887,-0.334664656,-0.39407224,-0.432097659,,,,
0.082,-0.266634675,-0.278812647,-0.40539341,-0.43538367,-0.417358558,,,,
0.082333333,-0.333039346,-0.236043028,-0.336035904,-0.405893459,-0.432097659,,,,
0.082666667,-0.250403066,-0.349570358,-0.28002992,-0.40880844,-0.418776479,,,,
0.083,-0.23412227,-0.209414111,-0.390727155,-0.547508667,-0.418776479,,,,
0.083333333,-0.278420179,-0.349570358,-0.250570908,-0.463414919,-0.389284816,,,,
0.083666667,-0.250403066,-0.253538002,-0.361350203,-0.503420972,-0.490905479,,,,
0.084,-0.23412227,-0.236043028,-0.291909895,-0.519477418,-0.361211073,,,,
0.084333333,-0.278420179,-0.280171136,-0.334664656,-0.423529792,-0.418776479,,,,
0.084666667,-0.322584257,-0.337504656,-0.319955295,-0.503420972,-0.473506044,,,,
0.085,-0.207606611,-0.377601607,-0.348000694,-0.433953023,-0.446821878,,,,
0.085333333,-0.293156379,-0.281526887,-0.277171511,-0.547508667,-0.462902487,,,,
0.085666667,-0.335866615,-0.305525156,-0.390727155,-0.39407224,-0.501579786,,,,
0.086,-0.294609466,-0.322853841,-0.305231075,-0.492817416,-0.473506044,,,,
0.086333333,-0.294609466,-0.333598898,-0.334664656,-0.492817416,-0.473506044,,,,
0.086666667,-0.293156379,-0.266847857,-0.290491975,-0.463414919,-0.418776479,,,,
0.087,-0.333039346,-0.23744536,-0.390727155,-0.518131715,-0.462902487,,,,
0.087333333,-0.349162363,-0.280171136,-0.308032912,-0.492817416,-0.433499991,,,,
