test,sample0,sample0,sample1,sample1,sample2,sample2,R=9mm,H=45mm,t=1.2mm,flow=1.2ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.042666667,-0.125166642,-0.265307842,-0.125194031,-0.193219107,-0.292890192,-0.237417088,,,,
0.043333333,-0.026322615,-0.221052383,-0.153211144,-0.277397799,-0.164717096,-0.210870116,,,,
0.044,-0.09716365,-0.277171511,-0.098843187,-0.306746437,-0.248768437,-0.207898563,,,,
0.044666667,-0.179660091,-0.361350203,-0.14163725,-0.194621439,-0.278197759,-0.210870116,,,,
0.045333333,-0.179660091,-0.293324955,-0.126832071,-0.305457363,-0.263490514,-0.2668761,,,,
0.046,-0.065906245,-0.28002992,-0.181228258,-0.333516927,-0.304802664,-0.237417088,,,,
0.046666667,-0.153169634,-0.40539341,-0.192879675,-0.290774977,-0.316751234,-0.18135459,,,,
0.047333333,-0.110373956,-0.389409767,-0.181228258,-0.333516927,-0.359506688,-0.238873108,,,,
0.048,-0.065906245,-0.389409767,-0.210798725,-0.334777686,-0.235487522,-0.293479587,,,,
0.048666667,-0.123597592,-0.290491975,-0.126832071,-0.334777686,-0.348839775,-0.321510837,,,,
0.049333333,-0.08074378,-0.306633407,-0.166420645,-0.31884872,-0.375502482,-0.320136819,,,,
0.05,-0.110373956,-0.334664656,-0.220939239,-0.333516927,-0.291493506,-0.209385839,,,,
0.050666667,-0.153169634,-0.392041888,-0.250514393,-0.346922463,-0.375502482,-0.305411898,,,,
0.051333333,-0.179660091,-0.434681587,-0.192879675,-0.334777686,-0.360836891,-0.348196383,,,,
0.052,-0.178144501,-0.336035904,-0.266776494,-0.321398555,-0.390153297,-0.377573335,,,,
0.052666667,-0.151628842,-0.390727155,-0.278545643,-0.250683938,-0.428989489,-0.293479587,,,,
0.053333333,-0.181172626,-0.390727155,-0.210798725,-0.389636055,-0.319496498,-0.277338155,,,,
0.054,-0.138391069,-0.374713203,-0.197586833,-0.43346701,-0.388854004,-0.377573335,,,,
0.054666667,-0.207691341,-0.336035904,-0.210798725,-0.334777686,-0.37418775,-0.237417088,,,,
0.055333333,-0.095566343,-0.406692703,-0.210798725,-0.350658504,-0.34749949,-0.365549998,,,,
0.056,-0.067535094,-0.392041888,-0.321313826,-0.417695619,-0.400929925,-0.306801475,,,,
0.056666667,-0.151628842,-0.40539341,-0.248998803,-0.321398555,-0.43276415,-0.308188249,,,,
0.057333333,-0.125166642,-0.462670472,-0.294765379,-0.377432783,-0.428989489,-0.294879092,,,,
0.058,-0.206204065,-0.446789654,-0.321313826,-0.361576491,-0.460738941,-0.322882084,,,,
0.058666667,-0.23572259,-0.390727155,-0.196020944,-0.418871434,-0.428989489,-0.378888068,,,,
