Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.049111111,-0.130456398,-0.130193644,-0.52156244,-0.718229531,-1.104016972,-0.133408729,-0.584886457,-0.32423668
0.052,-0.327718125,0.070212618,-0.585279295,-0.645707654,-0.654573899,0,-0.718295186,-0.97618973
0.054888889,-0.137149523,-0.126981699,-0.78234366,-0.781949331,-0.845733398,-0.52156244,-0.845667677,-0.5850179
0.057777778,-0.394456111,0.200603228,-0.585279295,-0.648669034,-0.581927965,-0.52156244,-0.584886457,-0.77655911
0.060666667,0.126843443,0,-0.394321325,-0.320883462,-0.584952178,-0.13039061,-0.390974666,-0.32423668
0.063555556,-0.264131223,-0.451349822,-0.32114157,-0.320883462,-0.521299554,0,-0.584886457,-0.97618973
0.066444444,-0.197327515,-0.381714687,-0.457909816,-0.390974666,-0.257299841,-0.39117183,-1.039906717,-0.451603077
0.069333333,-0.066936906,-0.51230286,-0.97920937,-0.521299554,-0.848488764,-0.457712651,-0.320686099,-1.10658034
0.072222222,-0.397536812,-0.063458864,-0.649060478,-0.715342788,-0.451405714,-0.39117183,-0.260649777,-0.321080825
0.075111111,-0.524781,-0.387631476,-0.52156244,-0.776295826,-0.587970297,-0.715933056,-0.718295186,-0.71540851
0.078,-0.455084522,-0.257306588,-0.65195305,-0.715342788,-0.524380255,-0.39117183,-0.976058287,-0.909713338
0.080888889,-0.397536812,-0.454236564,-0.330796872,-0.842972469,-0.845733398,-0.26078122,-0.778993922,-0.582125328
0.083777778,-0.137149523,-0.320959212,-0.65195305,-0.587970297,-0.718229531,-0.191146085,-0.715277067,-0.71540851
0.086666667,-0.394456111,-0.317934999,-0.785099025,-0.978747998,-0.779125431,-0.39117183,-0.324105237,-0.77655911
0.089555556,-0.716129026,-0.320959212,-0.13039061,-0.651624443,-0.718229531,-0.39117183,-0.651624443,-0.848423109
0.092444444,-0.327718125,-0.448457251,-0.518538227,-0.976124008,-0.776295826,-0.13039061,-0.454495847,-0.781949331
0.095333333,-0.133806334,-0.451349822,-0.330796872,-0.524380255,-0.909581829,-0.65195305,-0.454495847,-0.84579912
0.098222222,-0.716129026,-0.190568602,-1.043124879,-0.91227422,-0.845733398,-0.321734258,-0.454495847,-1.10658034
0.101111111,-0.264131223,-0.908931031,-0.52156244,-0.712450217,-0.976124008,-0.197062874,-1.106448897,-0.84579912
0.104,-0.588499345,-0.451349822,-0.649060478,-0.976124008,-0.976124008,-0.590593264,-0.521299554,-0.71540851
0.106888889,-0.527730456,-0.126981699,-0.649060478,-1.168060343,-1.104016972,-0.718362429,-0.654705144,-0.97618973
0.109777778,-0.585606774,-0.448457251,-0.582317915,-0.784767544,-0.845733398,-0.45232243,-1.037208887,-0.5850179
0.112666667,-0.585606774,-0.581740432,-0.721377805,-1.042599108,-0.784767544,-0.069818687,-0.976058287,-1.104214335
0.115555556,-0.455084522,-0.714755031,-0.457909816,-0.715342788,-0.976124008,-0.91273427,-0.584886457,-0.97618973
0.118444444,-0.461126854,-0.320959212,-1.109534258,-1.045154833,-0.521299554,-0.52156244,-1.298385232,-0.7846363
0.121333333,-0.849280565,-0.840024006,-1.627023294,-0.842972469,-1.106514618,-0.649455404,-1.042599108,-0.91227422
0.124222222,-0.846651277,-0.578979502,-1.242152383,-1.106514618,-1.497686448,-0.585476658,-0.976058287,-0.781949331
0.127111111,-0.979671175,-0.190568602,-0.65195305,-0.91227422,-1.499784931,-0.649455404,-1.367230117,-1.497752169
0.13,-0.979671175,-0.840024006,-0.78234366,-1.106514618,-1.236905228,-0.720786908,-1.298385232,-1.367361559
0.132888889,-0.979671175,-0.840024006,-1.111958738,-1.104016972,-1.236905228,-0.52156244,-0.781949331,-0.84579912
0.135777778,-0.388276038,-0.451349822,-1.434296709,-1.172923997,-1.435735766,-0.914964129,-1.628011337,-0.84579912
0.138666667,-0.982163788,-0.581740432,-1.043124879,-1.234539224,-1.628077058,-0.654445663,-1.236839507,-1.104214335
0.141555556,-0.982163788,-0.581740432,-1.365846949,-1.495583727,-1.367295838,-0.78234366,-1.106448897,-1.037735455
0.144444444,-0.458108735,-0.975273498,-1.043124879,-1.367295838,-1.172923997,-0.784704896,-1.694223551,-1.108941576
0.147333333,-1.046080554,-0.712131042,-0.91273427,-1.303248886,-1.563898663,-0.97467512,-0.976058287,-1.10658034
0.150222222,-0.849280565,-0.709501754,-0.915358259,-1.365061476,-1.429236688,-0.784704896,-1.103819609,-0.781949331
0.153111111,-0.979671175,-0.587245617,-1.043124879,-1.367295838,-1.499784931,-0.779977655,-1.495386364,-0.97618973
0.156,-0.918311389,-1.034655549,-0.97920937,-1.431407419,-1.239266464,-0.58803754,-1.497620727,-1.239200809
0.158888889,-0.846651277,-0.972912262,-0.91273427,-1.628077058,-1.626105979,-1.235851464,-1.628011337,-1.629978509
0.161777778,-0.585606774,-0.517956365,-0.77958273,-1.435735766,-1.497686448,-0.844086947,-0.976058287,-1.495781091
0.164666667,-0.846651277,-0.773479205,-1.370184035,-1.234539224,-1.236905228,-1.235851464,-1.367230117,-1.560088144
0.167555556,-0.918311389,-0.648281254,-1.173515489,-1.56592941,-1.55982486,-0.65195305,-1.172923997,-1.104214335
0.170444444,-1.048505034,-0.908931031,-1.040627234,-1.239266464,-1.497686448,-1.043124879,-1.43127591,-1.435604522
0.173333333,-0.846651277,-0.842521652,-1.040627234,-1.630044165,-1.236905228,-0.720786908,-1.690149749,-1.694223551
0.176222222,-0.524781,-1.165243722,-1.109534258,-1.042599108,-1.690413033,-0.91273427,-1.888792556,-1.170626133
0.179111111,-0.915755665,-1.169580808,-1.175876726,-1.170494624,-1.628077058,-0.779977655,-1.234341861,-1.168323627
0.182,-0.918311389,-1.171742799,-1.175876726,-0.914961188,-1.497686448,-0.844086947,-1.628011337,-1.628142779
0.184888889,-0.788117745,-1.101068509,-1.372346027,-1.106514618,-1.499784931,-0.58803754,-1.236839507,-1.495781091
0.187777778,-0.915755665,-0.972912262,-0.981765094,-1.045154833,-1.435735766,-0.784704896,-1.369591353,-1.628142779
0.190666667,-1.176405442,-0.781161866,-0.848884481,-1.495583727,-1.433573774,-1.107302248,-1.563898663,-1.560088144
0.193555556,-0.785430777,-1.039255919,-1.173515489,-1.495583727,-1.888858278,-0.720786908,-1.497620727,-1.367361559
