dV/V,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (scale=0.081),delta2 (scale=0.082),delta3(scale=0.087)
0.7119,55.14324946,51.42845061,53.20852916,0.2171376,0.2446224,0.180347778
0.714,55.5481503,51.72396275,53.45701499,0.2186064,0.2446224,0.180347778
0.7161,55.85542715,51.91349337,53.71114348,0.2202792,0.2501328,0.180347778
0.7182,56.19652492,52.22356664,54.00433647,0.2220336,0.2511824,0.180347778
0.7203,56.57728947,52.44887697,54.23540324,0.2241144,0.2511824,0.180347778
0.7224,57.02187947,52.72233831,54.48310503,0.2260116,0.262159466,0.195331111
0.7245,57.43304479,52.94789075,54.79120872,0.2278272,0.262115734,0.196458889
0.7266,57.81946181,53.23912836,55.01411468,0.229602,0.262115734,0.196458889
0.7287,58.28793835,53.50683451,55.2906198,0.2315808,0.262115734,0.196458889
0.7308,58.84034294,53.71330184,55.46680716,0.23358,0.262115734,0.196458889
0.7329,59.11710513,53.95649767,55.76458225,0.2357424,0.262115734,0.196458889
0.735,59.52884854,54.26156121,56.02383318,0.2384964,0.273770667,0.196458889
0.7371,59.78620683,54.46439006,56.21556473,0.240618,0.273049067,0.196458889
0.7392,59.99434864,54.79827788,56.51364041,0.2424948,0.273049067,0.196458889
0.7413,60.2180607,55.12909656,56.77875323,0.2445348,0.273049067,0.196458889
0.7434,60.63340319,55.3845848,57.03265717,0.2470644,0.273049067,0.196458889
0.7455,60.89130809,55.5695442,57.38052498,0.2498592,0.287218667,0.210153333
0.7476,61.18431393,55.96526413,57.57890451,0.2546736,0.286169067,0.209347778
0.7497,61.51505939,56.19935752,57.89259943,0.2590188,0.286169067,0.209347778
0.7518,61.84137361,56.57516669,58.12355173,0.2646288,0.286169067,0.209347778
0.7539,62.13724761,56.8988411,58.45260009,0.2650368,0.286169067,0.209347778
0.756,62.49513948,57.20293045,58.7134677,0.2742372,0.286169067,0.209347778
0.7581,62.75119457,57.42926552,58.98359372,0.2752368,0.3023504,0.209347778
0.7602,63.11475337,57.78324779,59.3126043,0.2752368,0.301475733,0.219691111
0.7623,63.24574729,58.09943008,59.54517572,0.2752368,0.301475733,0.195202222
0.7644,63.5023342,58.31552667,59.93322354,0.2871912,0.301475733,0.215502222
0.7665,63.81809724,58.66813801,60.19672961,0.2874768,0.301475733,0.215792222
0.7686,64.10712696,58.9290274,60.51692116,0.2874768,0.321330667,0.225845556
0.7707,64.23669911,59.23657574,60.8047171,0.2874768,0.321155734,0.203515556
0.7728,64.59201863,59.47599931,61.17261791,0.2874768,0.321155734,0.220464444
0.7749,64.80430325,59.80030602,61.37504703,0.3031236,0.321155734,0.2291
0.777,65.00497257,59.97963666,61.79061547,0.3037968,0.321155734,0.209444444
0.7791,65.34759159,60.32815391,62.12705374,0.3037968,0.321155734,0.225781111
0.7812,65.56049776,60.62165845,62.42764995,0.3037968,0.321155734,0.234738889
0.7833,65.83565171,60.74429841,62.73700337,0.3037968,0.321155734,0.214986667
0.7854,66.17184377,61.1123167,63.0095748,0.3037968,0.344553067,0.231001111
0.7875,66.43938871,61.3899388,63.3058666,0.3037968,0.345209067,0.240506667
0.7896,66.58851674,61.63880906,63.62914654,0.3037968,0.345209067,0.220722222
0.7917,66.87916542,62.06112009,63.83260882,0.3161796,0.345209067,0.236027778
0.7938,67.10491113,62.30397345,64.13010609,0.3160368,0.345209067,0.242182222
0.7959,67.31356739,62.50539897,64.47123808,0.3160368,0.345209067,0.227456667
0.798,67.59213989,62.79718293,64.73606872,0.3160368,0.345209067,0.240796667
0.8001,67.80080523,63.05660711,65.01352399,0.332316,0.345209067,0.248046667
0.8022,68.09388262,63.30148881,65.32706752,0.3323568,0.345209067,0.234384444
