dV/V,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (scale=0.081),delta2 (scale=0.082),delta3(scale=0.087)
0.1638,0.010934324,0.047106858,0.025978378,0.0145452,0.014672534,0.001063333
0.1659,0.037760711,0.045241299,0.035319038,0.0148716,0.015088,0.001063333
0.168,0.044546584,0.040845269,0.0154246,0.0150756,0.015197333,0.00116
0.1701,0.044237732,0.057765012,0.023776587,0.0153204,0.015306666,0.00145
0.1722,0.083915022,0.057102105,0.020359179,0.0153612,0.015394134,0.001321111
0.1743,0.067463205,0.052705255,0.014966216,0.0154836,0.015525333,0.00145
0.1764,0.057507019,0.047643284,0.008355064,0.015708,0.0156784,0.001514444
0.1785,0.054189094,0.045111469,0.003423682,0.0158508,0.0158096,0.001707778
0.1806,0.036517993,0.048845225,0.000522373,0.0160752,0.015918934,0.001772222
0.1827,0.002557023,0.080184154,0.028567758,0.0164832,0.016181333,0.001836667
0.1848,0.025467224,0.080184154,0.025374646,0.0167484,0.0167936,0.001933333
0.1869,0.025467224,0.07325478,0.014278005,0.0170544,0.017034134,0.002094444
0.189,0.028787306,0.060053375,0.006675766,0.017238,0.0171872,0.002191111
0.1911,0.035428679,0.051915688,0.001741019,0.0173808,0.017427733,0.002352222
0.1932,0.025310306,0.07325478,0.000290261,0.0176052,0.0175808,0.002352222
0.1953,0.035428679,0.067531216,0.000928954,0.0180336,0.017821333,0.002416667
0.1974,0.042071665,0.080076409,0.028449957,0.018258,0.018018133,0.002706667
0.1995,0.038283722,0.077545309,0.009756862,0.018462,0.0182368,0.002738889
0.2016,0.051731452,0.032305961,0.007315763,0.0186864,0.018477333,0.0029
0.2037,0.048099145,0.025364179,0.000813075,0.0188904,0.019002133,0.003061111
0.2058,0.048099145,0.035373961,0.000639045,0.0194004,0.019133333,0.003222222
0.2079,0.02436802,0.057940974,0.00900403,0.0195228,0.019439466,0.00348
0.21,0.014243783,0.093739892,0.003834336,0.0197064,0.019658133,0.003866667
0.2121,0.014243783,0.061683466,0.001393945,0.0199104,0.0199424,0.004092222
0.2142,0.016933565,0.054199633,0.033582818,0.0200736,0.020423467,0.004221111
0.2163,0.013451555,0.071158369,0.0382436,0.0202572,0.020576534,0.004607778
0.2184,0.020257458,0.132080388,0.021508078,0.020298,0.020838933,0.004962222
0.2205,0.020099707,0.135835283,0.023718748,0.0207264,0.020970133,0.005058889
0.2226,0.026906455,0.098706392,0.014125877,0.02091,0.02132,0.005381111
0.2247,0.037038769,0.069834306,0.011163056,0.021216,0.021494933,0.005574444
0.2268,0.0402093,0.093640604,0.022731736,0.0214608,0.021735467,0.005864444
0.2289,0.02438781,0.08923176,0.030829261,0.0216648,0.021997867,0.006025556
0.231,0.038003121,0.08923176,0.027391791,0.0218076,0.022085333,0.006218889
0.2331,0.029291437,0.104333375,0.030590935,0.022032,0.022282133,0.006541111
0.2352,0.022164121,0.116903473,0.030590935,0.0220728,0.0225008,0.006605556
0.2373,0.035479244,0.132581936,0.033519845,0.0222564,0.022785067,0.006863333
0.2394,0.008577476,0.109962956,0.031816347,0.022542,0.023266133,0.006831111
0.2415,0.02204217,0.116249427,0.047071002,0.0229092,0.023331733,0.007314444
0.2436,0.028691405,0.129399199,0.055688251,0.0231744,0.023528534,0.007217778
0.2457,0.029346511,0.132507296,0.060119513,0.0234192,0.023856533,0.007378889
0.2478,0.029674297,0.132507296,0.073174647,0.0235008,0.023965867,0.007765556
0.2499,0.029838249,0.139451012,0.060861447,0.0236844,0.0240752,0.008087778
0.252,0.050624343,0.161505949,0.055431133,0.02397,0.024293866,0.008313333
0.2541,0.047131655,0.146976121,0.052227804,0.0242352,0.024556267,0.008506667
0.2562,0.050790845,0.126135828,0.036960771,0.0245412,0.0248624,0.008796667
0.2583,0.05112397,0.165862664,0.05887837,0.0246432,0.025081067,0.009118889
0.2604,0.054451332,0.182226448,0.077857527,0.0250512,0.025737067,0.009376667
0.2625,0.047630005,0.218775535,0.08550003,0.025296,0.025890134,0.009634444
0.2646,0.06110484,0.209950718,0.099304796,0.0254592,0.026152533,0.010053333
0.2667,0.064935601,0.208674997,0.094130052,0.025602,0.0263712,0.01015
0.2688,0.07875036,0.216866674,0.105235815,0.0260712,0.026808533,0.010407778
0.2709,0.095894209,0.213089243,0.117808466,0.0263568,0.0270928,0.010794444
0.273,0.099219766,0.251544619,0.131876033,0.0266016,0.027530133,0.011213333
0.2751,0.127038761,0.255957647,0.139273939,0.02703,0.027464533,0.011342222
0.2772,0.127038761,0.285593531,0.171353881,0.0272136,0.0278144,0.0116
0.2793,0.219830771,0.297586814,0.198715449,0.0273564,0.0281424,0.01189
0.2814,0.229978095,0.341092318,0.19381638,0.027744,0.0284048,0.012341111
0.2835,0.271133039,0.319649913,0.195065677,0.0279888,0.028689067,0.012534444
0.2856,0.305270828,0.345503446,0.213346924,0.0281724,0.029017066,0.012727778
0.2877,0.360092412,0.411738674,0.232612322,0.0283764,0.029192,0.01305
0.2898,0.483422622,0.408031304,0.243502608,0.0286416,0.0294544,0.013372222
0.2919,0.653404981,0.455357335,0.268225457,0.0290904,0.030154134,0.013597778
0.294,0.87398848,0.471816852,0.300072283,0.0294168,0.030263467,0.013887778
0.2961,1.251268643,0.515327352,0.354493726,0.0296208,0.030460267,0.014242222
0.2982,1.807545321,0.574530857,0.387902078,0.029988,0.0307008,0.014403333
0.3003,2.473892377,0.649327479,0.438063809,0.030192,0.0310288,0.014757778
0.3024,3.24027927,0.73106602,0.560285423,0.0305184,0.031378666,0.014983333
0.3045,4.001061943,0.797390105,0.620137393,0.0306612,0.031816,0.015241111
0.3066,4.551264839,0.903294459,0.729504199,0.0310692,0.032318933,0.015531111
0.3087,5.080860469,1.025263333,0.892321486,0.0315588,0.0326032,0.015724444
0.3108,5.481135016,1.148218094,1.118362273,0.0316608,0.0328656,0.016078889
0.3129,5.831852815,1.32086673,1.381932054,0.0323544,0.033368533,0.016401111
0.315,6.163369881,1.569325896,1.844135086,0.032742,0.0340464,0.016658889
0.3171,6.480055301,1.818480761,2.454398991,0.0330684,0.0348336,0.016981111
0.3192,6.678618324,2.128915925,3.1323278,0.0336192,0.035270933,0.017238889
0.3213,6.785095272,2.511722667,3.790563167,0.034068,0.0356864,0.01769
0.3234,7.02303285,2.92645788,4.449012756,0.0349248,0.036408,0.017915556
0.3255,7.153680722,3.39705992,5.021820322,0.0355776,0.0373264,0.018302222
0.3276,7.226493394,3.822328836,5.539270309,0.036108,0.038026133,0.018656667
0.3297,7.843464914,4.26888218,5.957551545,0.0366384,0.038463466,0.019011111
0.3318,8.14623399,4.670505228,6.358616292,0.0373728,0.038988266,0.019172222
0.3339,8.487548542,5.059968711,6.735908134,0.0378012,0.039513066,0.01943
0.336,8.748609609,5.420109012,7.118519847,0.0385152,0.039994133,0.019752222
0.3381,8.954227016,5.709796617,7.435073196,0.038964,0.040912533,0.020106667
0.3402,9.176235487,6.065088086,7.760510305,0.039984,0.0415904,0.020396667
0.3423,9.451821433,6.421642425,8.106859542,0.0406572,0.042224533,0.020815556
0.3444,9.6718481,6.685628086,8.422332824,0.0411672,0.0429024,0.021137778
0.3465,9.891396919,6.980681965,8.721954658,0.0415752,0.043514667,0.021427778
