dV/V0,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (%),delta2 (%),delta3(%)
0.552,20.79507375,23.41112584,27.60996709,0.277809556,0.301041667,0.296824167
0.560363636,22.17643966,24.09506326,27.93106393,0.2888,0.309636111,0.306139722
0.568727273,22.54636459,24.55837307,28.3193789,0.297624444,0.318797222,0.313745
0.577090909,23.02379937,25.30244216,28.64417571,0.305125222,0.327344444,0.321423056
0.585454545,23.35494094,25.9462164,29.03143968,0.314992556,0.334805556,0.329101111
0.593818182,23.67377081,26.61367797,29.40049179,0.324859889,0.335561111,0.336124167
0.602181818,24.97445969,27.20437424,29.71381897,0.333844778,0.348311111,0.343947778
0.610545455,25.37298309,27.79241429,30.04780804,0.341305444,0.353080556,0.351698611
0.618909091,25.65102828,28.47861232,30.41136142,0.351533778,0.357944444,0.3599225
0.627272727,25.89528717,29.12435165,30.75834287,0.358152111,0.362383333,0.368146389
0.635636364,26.15771739,29.65323142,31.09530479,0.366334778,0.368238889,0.374914722
0.644,26.42465784,30.45271396,31.4429445,0.376081778,0.371072222,0.383284167
0.652363636,26.74395695,31.30514705,31.80118477,0.384465,0.376738889,0.391762778
0.660727273,26.95179486,31.99491517,32.07845447,0.393449889,0.380941667,0.399768333
0.669090909,27.23115714,32.72459851,32.36782218,0.401432,0.386183333,0.406791389
0.677454545,27.42045811,32.74967037,32.64093024,0.408571778,0.392322222,0.4149425
0.685818182,27.71052365,32.93943952,32.90073704,0.416513778,0.396997222,0.422875278
0.694181818,27.94134001,32.98594844,33.16796574,0.425057444,0.402994444,0.431353889
0.702545455,28.25737797,33.07688752,33.495182,0.431354889,0.408094444,0.439104722
0.710909091,28.44120349,33.19176624,33.74668368,0.441783778,0.414658333,0.448784167
0.719272727,28.66765927,34.69310728,33.79707751,0.449966444,0.422733333,0.4575175
0.727636364,28.86720959,34.65061898,33.96232794,0.456665,0.428116667,0.466250833
0.736,29.08071146,34.66476088,34.25351286,0.46569,0.436286111,0.476730833
0.744363636,29.4541418,34.72211151,34.56869194,0.47291,0.442802778,0.486737778
0.752727273,29.77095733,34.6989636,34.81324374,0.487510444,0.450263889,0.497836389
0.761090909,30.08485889,34.64162415,35.04641254,0.498781667,0.459425,0.509371667
0.769454545,30.30795239,34.53370599,35.28040504,0.510494111,0.468397222,0.519960833
0.777818182,30.61648767,34.41924651,35.52423071,0.524492889,0.476283333,0.531095833
0.786181818,30.91778061,34.3282223,35.74672426,0.537569111,0.484783333,0.543795556
0.794545455,31.27383861,34.22766769,35.95948548,0.548038111,0.495927778,0.554493889
0.802909091,31.52432237,34.19629187,35.81283745,0.562999556,0.501311111,0.565483333
